age,White,Black,Hispanic,Asian,Native American,Total
0,0.018,0.04,0.018,0.005,0.026,0.021
1,0.027,0.059,0.028,0.007,0.04,0.032
2,0.036,0.075,0.038,0.01,0.053,0.041
3,0.044,0.089,0.046,0.012,0.063,0.05
4,0.051,0.102,0.055,0.014,0.073,0.058
5,0.057,0.114,0.062,0.016,0.083,0.066
6,0.063,0.126,0.07,0.019,0.091,0.073
7,0.068,0.137,0.077,0.021,0.098,0.079
8,0.073,0.147,0.083,0.023,0.105,0.085
9,0.078,0.156,0.089,0.024,0.111,0.09
10,0.082,0.163,0.095,0.026,0.116,0.095
11,0.086,0.171,0.1,0.028,0.121,0.1
12,0.09,0.178,0.105,0.03,0.126,0.105
13,0.094,0.185,0.111,0.032,0.131,0.11
14,0.098,0.193,0.117,0.034,0.136,0.114
15,0.102,0.2,0.122,0.035,0.14,0.119
16,0.105,0.206,0.127,0.037,0.143,0.123
17,0.107,0.209,0.13,0.038,0.145,0.125
