issue,group,Republicans,Democrats,Both,Neither,No opinion
economy,All,47,37,1,11,3
economy,Republicans,90,3,1,3,3
economy,Independents,48,28,2,19,4
economy,Democrats,5,89,1,4,2
health,All,45,41,1,10,4
health,Republicans,85,6,0,6,3
health,Independents,44,35,1,16,4
health,Democrats,6,87,0,4,4
future,All,42,42,1,11,4
future,Republicans,85,5,1,5,5
future,Independents,38,38,1,19,5
future,Democrats,4,88,1,4,4
foreign,All,50,34,1,8,7
foreign,Republicans,86,5,0,2,7
foreign,Independents,52,26,2,15,7
foreign,Democrats,10,80,2,2,6
