year,Men,Women
1929,55.8,58.7
1930,58.1,61.6
1931,59.4,63.1
1932,61,63.5
1933,61.7,65.1
1934,59.3,63.3
1935,59.9,63.9
1936,56.6,60.6
1937,58,62.4
1938,61.9,65.3
1939,62.1,65.4
1940,60.8,65.2
1941,63.1,66.8
1942,64.7,67.9
1943,62.4,64.4
1944,63.6,66.8
1945,63.6,67.9
1946,64.4,69.4
1947,64.4,69.7
1948,64.6,69.9
1949,65.2,70.7
1950,65.6,71.1
1951,65.6,71.4
1952,65.8,71.6
1953,66,72
1954,66.7,72.8
1955,66.7,72.8
1956,66.7,72.9
1957,66.4,72.7
1958,66.6,72.9
1959,66.8,73.2
1960,66.6,73.1
1961,67.1,73.6
1962,66.9,73.5
1963,66.6,73.4
1964,66.8,73.7
1965,66.8,73.8
1966,66.7,73.9
1967,67,74.3
1968,66.6,74.1
1969,66.8,74.4
1970,67.1,74.7
1971,67.4,75
1972,67.4,75.1
1973,67.6,75.3
1974,68.2,75.9
1975,68.8,76.6
1976,69.1,76.8
1977,69.5,77.2
1978,69.6,77.3
1979,70,77.8
1980,70,77.4
1981,70.4,77.8
1982,70.8,78.1
1983,71,78.1
1984,71.1,78.2
1985,71.1,78.2
1986,71.2,78.2
1987,71.4,78.3
1988,71.4,78.3
1989,71.7,78.5
1990,71.8,78.8
1991,72,78.9
1992,72.3,79.1
1993,72.2,78.8
1994,72.4,79
1995,72.5,78.9
1996,73.1,79.1
1997,73.6,79.4
1998,73.8,79.5
1999,73.9,79.4
2000,74.1,79.3
2001,74.3,79.5
2002,74.4,79.6
2003,74.5,79.7
2004,75,80.1
2005,75,80.1
2006,75.2,80.3
2007,75.5,80.6
2008,75.6,80.6
2009,76,80.9
2010,76.2,81
