year,Gap
1929,-2.9
1930,-3.5
1931,-3.7
1932,-2.5
1933,-3.4
1934,-4
1935,-4
1936,-4
1937,-4.4
1938,-3.4
1939,-3.3
1940,-4.4
1941,-3.7
1942,-3.2
1943,-2
1944,-3.2
1945,-4.3
1946,-5
1947,-5.3
1948,-5.3
1949,-5.5
1950,-5.5
1951,-5.8
1952,-5.8
1953,-6
1954,-6.1
1955,-6.1
1956,-6.2
1957,-6.3
1958,-6.3
1959,-6.4
1960,-6.5
1961,-6.5
1962,-6.6
1963,-6.8
1964,-6.9
1965,-7
1966,-7.2
1967,-7.3
1968,-7.5
1969,-7.6
1970,-7.6
1971,-7.6
1972,-7.7
1973,-7.7
1974,-7.7
1975,-7.8
1976,-7.7
1977,-7.7
1978,-7.7
1979,-7.8
1980,-7.4
1981,-7.4
1982,-7.3
1983,-7.1
1984,-7.1
1985,-7.1
1986,-7
1987,-6.9
1988,-6.9
1989,-6.8
1990,-7
1991,-6.9
1992,-6.8
1993,-6.6
1994,-6.6
1995,-6.4
1996,-6
1997,-5.8
1998,-5.7
1999,-5.5
2000,-5.2
2001,-5.2
2002,-5.2
2003,-5.2
2004,-5.1
2005,-5.1
2006,-5.1
2007,-5.1
2008,-5
2009,-4.9
2010,-4.8
