year,Men,Women
1947,23.7,20.5
1948,23.3,20.4
1949,22.7,20.3
1950,22.8,20.3
1951,22.9,20.4
1952,23.0,20.2
1953,22.8,20.2
1954,23.0,20.3
1955,22.6,20.2
1956,22.5,20.1
1957,22.6,20.3
1958,22.6,20.2
1959,22.5,20.2
1960,22.8,20.3
1961,22.8,20.3
1962,22.7,20.3
1963,22.8,20.5
1964,23.1,20.5
1965,22.8,20.6
1966,22.8,20.5
1967,23.1,20.6
1968,23.1,20.8
1969,23.2,20.8
1970,23.2,20.8
1971,23.1,20.9
1972,23.3,20.9
1973,23.2,21.0
1974,23.1,21.1
1975,23.5,21.1
1976,23.8,21.3
1977,24.0,21.6
1978,24.2,21.8
1979,24.4,22.1
1980,24.7,22.0
1981,24.8,22.3
1982,25.2,22.5
1983,25.4,22.8
1984,25.4,23.0
1985,25.5,23.3
1986,25.7,23.1
1987,25.8,23.6
1988,25.9,23.6
1989,26.2,23.8
1990,26.1,23.9
1991,26.3,24.1
1992,26.5,24.4
1993,26.5,24.5
1994,26.7,24.5
1995,26.9,24.5
1996,27.1,24.8
1997,26.8,25.0
1998,26.7,25.0
1999,26.9,25.1
2000,26.8,25.1
2001,26.9,25.1
2002,26.9,25.3
2003,27.1,25.3
2004,27.4,25.3
2005,27.1,25.3
2006,27.5,25.5
2007,27.5,25.6
2008,27.6,25.9
2009,28.1,25.9
2010,28.2,26.1
2011,28.4,26.4
2012,28.6,26.6
2013,29.0,26.6
