year,Men,Women
1947,20052,9145
1948,19949,8401
1949,19777,8093
1950,21398,7935
1951,22778,8063
1952,23528,8691
1953,24244,8776
1954,23820,8654
1955,25163,8393
1956,26570,8478
1957,26269,8573
1958,26023,8176
1959,27562,8433
1960,27682,8556
1961,28138,8591
1962,29078,8925
1963,29594,9001
1964,30076,9378
1965,32018,9695
1966,32889,10153
1967,33377,10825
1968,34588,11678
1969,35597,11805
1970,35198,11805
1971,34898,12174
1972,36567,12757
1973,37212,12915
1974,35492,12942
1975,34352,13135
1976,34586,13121
1977,34938,13602
1978,35319,13139
1979,34719,12828
1980,33242,13053
1981,32637,13222
1982,31870,13449
1983,32057,13845
1984,32836,14456
1985,33193,14687
1986,34208,15211
1987,34389,16038
1988,35264,16569
1989,35567,17207
1990,34560,17150
1991,33653,17223
1992,32798,17179
1993,33019,17284
1994,33276,17566
1995,33753,18147
1996,34731,18674
1997,35962,19546
1998,37268,20300
1999,37610,21089
2000,37791,21417
2001,37742,21547
2002,37317,21457
2003,37367,21547
2004,37094,21476
2005,36784,21848
2006,36744,22792
2007,36761,23169
2008,35363,22253
2009,34452,22434
2010,33915,21878
2011,33675,21543
2012,33904,21520
