country,year,age,both,sums,shares
Brazil,2014,0,2943793,202656788,1.452600245
Brazil,2014,1,2958326,202656788,1.459771483
Brazil,2014,2,2974818,202656788,1.46790938
Brazil,2014,3,2990887,202656788,1.475838549
Brazil,2014,4,3026527,202656788,1.493424933
Brazil,2014,5,3082895,202656788,1.521239446
Brazil,2014,6,3140277,202656788,1.549554313
Brazil,2014,7,3197658,202656788,1.577868687
Brazil,2014,8,3254841,202656788,1.606085358
Brazil,2014,9,3314482,202656788,1.635514918
Brazil,2014,10,3372063,202656788,1.663927981
Brazil,2014,11,3421745,202656788,1.68844332
Brazil,2014,12,3464046,202656788,1.709316542
Brazil,2014,13,3499378,202656788,1.726750944
Brazil,2014,14,3498725,202656788,1.726428724
Brazil,2014,15,3462726,202656788,1.708665194
Brazil,2014,16,3424979,202656788,1.690039122
Brazil,2014,17,3387028,202656788,1.671312387
Brazil,2014,18,3347840,202656788,1.65197526
Brazil,2014,19,3326557,202656788,1.641473268
Brazil,2014,20,3321662,202656788,1.639057854
Brazil,2014,21,3313949,202656788,1.635251912
Brazil,2014,22,3304575,202656788,1.630626357
Brazil,2014,23,3292033,202656788,1.624437569
Brazil,2014,24,3333416,202656788,1.644857808
Brazil,2014,25,3396051,202656788,1.675764742
Brazil,2014,26,3414680,202656788,1.684957131
Brazil,2014,27,3434064,202656788,1.69452207
Brazil,2014,28,3460312,202656788,1.707474018
Brazil,2014,29,3539134,202656788,1.746368348
Brazil,2014,30,3544098,202656788,1.748817809
Brazil,2014,31,3480645,202656788,1.717507237
Brazil,2014,32,3454465,202656788,1.704588844
Brazil,2014,33,3401065,202656788,1.678238875
Brazil,2014,34,3385723,202656788,1.670668441
Brazil,2014,35,3330758,202656788,1.64354623
Brazil,2014,36,3197242,202656788,1.577663414
Brazil,2014,37,3066448,202656788,1.513123755
Brazil,2014,38,2979436,202656788,1.470188109
Brazil,2014,39,2934962,202656788,1.448242632
Brazil,2014,40,2890469,202656788,1.426287779
Brazil,2014,41,2846669,202656788,1.404674883
Brazil,2014,42,2802251,202656788,1.382757038
Brazil,2014,43,2757795,202656788,1.360820443
Brazil,2014,44,2699620,202656788,1.332114274
Brazil,2014,45,2681406,202656788,1.323126665
Brazil,2014,46,2639964,202656788,1.302677313
Brazil,2014,47,2580054,202656788,1.273115017
Brazil,2014,48,2551961,202656788,1.259252663
Brazil,2014,49,2518211,202656788,1.242598891
Brazil,2014,50,2466150,202656788,1.216909645
Brazil,2014,51,2410558,202656788,1.189478045
Brazil,2014,52,2327423,202656788,1.148455486
Brazil,2014,53,2240681,202656788,1.105653071
Brazil,2014,54,2153410,202656788,1.062589623
Brazil,2014,55,2066727,202656788,1.019816321
Brazil,2014,56,1982493,202656788,0.978251466
Brazil,2014,57,1901898,202656788,0.938482258
Brazil,2014,58,1824204,202656788,0.900144534
Brazil,2014,59,1747714,202656788,0.862400918
Brazil,2014,60,1671114,202656788,0.824603023
Brazil,2014,61,1594128,202656788,0.786614658
Brazil,2014,62,1516158,202656788,0.748140743
Brazil,2014,63,1437926,202656788,0.709537546
Brazil,2014,64,1361179,202656788,0.671667114
Brazil,2014,65,1286340,202656788,0.634738176
Brazil,2014,66,1212127,202656788,0.598118135
Brazil,2014,67,1138460,202656788,0.561767514
Brazil,2014,68,1066154,202656788,0.526088472
Brazil,2014,69,994651,202656788,0.490805667
Brazil,2014,70,926272,202656788,0.457064384
Brazil,2014,71,863939,202656788,0.42630647
Brazil,2014,72,808756,202656788,0.399076689
Brazil,2014,73,758845,202656788,0.374448351
Brazil,2014,74,711623,202656788,0.351146886
Brazil,2014,75,664690,202656788,0.327988027
Brazil,2014,76,617238,202656788,0.30457307
Brazil,2014,77,568260,202656788,0.280405115
Brazil,2014,78,518449,202656788,0.255826121
Brazil,2014,79,468909,202656788,0.231380851
Brazil,2014,80,421020,202656788,0.207750258
Brazil,2014,81,375296,202656788,0.185187974
Brazil,2014,82,332122,202656788,0.163883975
Brazil,2014,83,291320,202656788,0.143750428
Brazil,2014,84,252709,202656788,0.124698019
Brazil,2014,85,767721,202656788,0.378828169
Brazil,2014,90,227573,202656788,0.112294783
Brazil,2014,95,36832,202656788,0.01817457
Brazil,2014,100,3010,202656788,0.00148527
Canada,2014,0,356577,34834841,1.023621724
Canada,2014,1,356039,34834841,1.022077293
Canada,2014,2,355457,34834841,1.020406552
Canada,2014,3,354887,34834841,1.018770259
Canada,2014,4,354464,34834841,1.017555958
Canada,2014,5,354494,34834841,1.017642079
Canada,2014,6,355119,34834841,1.019436259
Canada,2014,7,356042,34834841,1.022085905
Canada,2014,8,357620,34834841,1.026615853
Canada,2014,9,359941,34834841,1.033278722
Canada,2014,10,362204,34834841,1.039775092
Canada,2014,11,361921,34834841,1.038962687
Canada,2014,12,365053,34834841,1.047953685
Canada,2014,13,368612,34834841,1.058170468
Canada,2014,14,374674,34834841,1.075572586
Canada,2014,15,386284,34834841,1.108901287
Canada,2014,16,385514,34834841,1.106690856
Canada,2014,17,406359,34834841,1.166530371
Canada,2014,18,435929,34834841,1.251416649
Canada,2014,19,445245,34834841,1.278159989
Canada,2014,20,453840,34834841,1.302833563
Canada,2014,21,462806,34834841,1.328572161
Canada,2014,22,476991,34834841,1.369292887
Canada,2014,23,477299,34834841,1.370177059
Canada,2014,24,479028,34834841,1.375140481
Canada,2014,25,463209,34834841,1.329729049
Canada,2014,26,455005,34834841,1.306177915
Canada,2014,27,460990,34834841,1.32335899
Canada,2014,28,470169,34834841,1.349709046
Canada,2014,29,472376,34834841,1.356044657
Canada,2014,30,469751,34834841,1.348509098
Canada,2014,31,466771,34834841,1.339954444
Canada,2014,32,466778,34834841,1.339974539
Canada,2014,33,465956,34834841,1.337614832
Canada,2014,34,461379,34834841,1.324475688
Canada,2014,35,451687,34834841,1.296652969
Canada,2014,36,445598,34834841,1.279173343
Canada,2014,37,446668,34834841,1.28224498
Canada,2014,38,449340,34834841,1.289915461
Canada,2014,39,447766,34834841,1.285396997
Canada,2014,40,434795,34834841,1.248161288
Canada,2014,41,437495,34834841,1.255912148
Canada,2014,42,444193,34834841,1.275140024
Canada,2014,43,462057,34834841,1.326422015
Canada,2014,44,464872,34834841,1.334503005
Canada,2014,45,461716,34834841,1.32544311
Canada,2014,46,463479,34834841,1.330504135
Canada,2014,47,474331,34834841,1.361656854
Canada,2014,48,498176,34834841,1.430108437
Canada,2014,49,532290,34834841,1.528039126
Canada,2014,50,546292,34834841,1.568234516
Canada,2014,51,552124,34834841,1.584976375
Canada,2014,52,544311,34834841,1.56254768
Canada,2014,53,547960,34834841,1.573022825
Canada,2014,54,539087,34834841,1.5475512
Canada,2014,55,527030,34834841,1.512939301
Canada,2014,56,521086,34834841,1.495875925
Canada,2014,57,509905,34834841,1.46377875
Canada,2014,58,489661,34834841,1.405664518
Canada,2014,59,484941,34834841,1.392114866
Canada,2014,60,467609,34834841,1.342360081
Canada,2014,61,447679,34834841,1.285147247
Canada,2014,62,432842,34834841,1.242554832
Canada,2014,63,423597,34834841,1.216015311
Canada,2014,64,412555,34834841,1.184317161
Canada,2014,65,404057,34834841,1.159922045
Canada,2014,66,400130,34834841,1.148648848
Canada,2014,67,398147,34834841,1.142956272
Canada,2014,68,346303,34834841,0.994128264
Canada,2014,69,321803,34834841,0.92379638
Canada,2014,70,309717,34834841,0.889101231
Canada,2014,71,297357,34834841,0.853619513
Canada,2014,72,275076,34834841,0.789657688
Canada,2014,73,261796,34834841,0.751534936
Canada,2014,74,244469,34834841,0.701794505
Canada,2014,75,232998,34834841,0.66886483
Canada,2014,76,218345,34834841,0.626800622
Canada,2014,77,205648,34834841,0.590351482
Canada,2014,78,199455,34834841,0.572573304
Canada,2014,79,188310,34834841,0.540579473
Canada,2014,80,177011,34834841,0.508143557
Canada,2014,81,172017,34834841,0.493807335
Canada,2014,82,164148,34834841,0.471217882
Canada,2014,83,154626,34834841,0.44388318
Canada,2014,84,143059,34834841,0.410677919
Canada,2014,85,533845,34834841,1.532503048
Canada,2014,90,257210,34834841,0.738369956
Canada,2014,95,90470,34834841,0.259711247
Canada,2014,100,22919,34834841,0.065793325
Chile,2014,0,241242,17363894,1.389331218
Chile,2014,1,241594,17363894,1.391358413
Chile,2014,2,242201,17363894,1.394854173
Chile,2014,3,242866,17363894,1.398683959
Chile,2014,4,243509,17363894,1.402387045
Chile,2014,5,244204,17363894,1.406389604
Chile,2014,6,241597,17363894,1.39137569
Chile,2014,7,234088,17363894,1.348130782
Chile,2014,8,229223,17363894,1.320112873
Chile,2014,9,228668,17363894,1.316916586
Chile,2014,10,230515,17363894,1.327553601
Chile,2014,11,234874,17363894,1.352657417
Chile,2014,12,240621,17363894,1.385754831
Chile,2014,13,245396,17363894,1.413254423
Chile,2014,14,253964,17363894,1.462598194
Chile,2014,15,264544,17363894,1.523529227
Chile,2014,16,269342,17363894,1.551161278
Chile,2014,17,273216,17363894,1.573471941
Chile,2014,18,276102,17363894,1.590092637
Chile,2014,19,280550,17363894,1.615709011
Chile,2014,20,285370,17363894,1.643467761
Chile,2014,21,287792,17363894,1.657416245
Chile,2014,22,291916,17363894,1.681166678
Chile,2014,23,297905,17363894,1.71565779
Chile,2014,24,299611,17363894,1.725482775
Chile,2014,25,294047,17363894,1.693439271
Chile,2014,26,281918,17363894,1.623587428
Chile,2014,27,270334,17363894,1.556874282
Chile,2014,28,265644,17363894,1.529864211
Chile,2014,29,264982,17363894,1.526051702
Chile,2014,30,267315,17363894,1.539487629
Chile,2014,31,269473,17363894,1.551915717
Chile,2014,32,266251,17363894,1.533359971
Chile,2014,33,246108,17363894,1.417354886
