date,Men
1948,96.6
1949,96.5
1950,96.5
1951,96.8
1952,97.2
1953,97.4
1954,97.3
1955,97.4
1956,97.3
1957,97.1
1958,97.1
1959,97.1
1960,97
1961,96.9
1962,96.8
1963,96.8
1964,96.8
1965,96.7
1966,96.6
1967,96.6
1968,96.3
1969,96.1
1970,95.8
1971,95.5
1972,95.1
1973,95
1974,94.7
1975,94.4
1976,94.2
1977,94.2
1978,94.3
1979,94.4
1980,94.2
1981,94.1
1982,94
1983,93.8
1984,93.9
1985,93.9
1986,93.8
1987,93.7
1988,93.6
1989,93.7
1990,93.4
1991,93.1
1992,93
1993,92.6
1994,91.7
1995,91.6
1996,91.8
1997,91.8
1998,91.8
1999,91.7
2000,91.6
2001,91.3
2002,91
2003,90.6
2004,90.5
2005,90.5
2006,90.6
2007,90.9
2008,90.5
2009,89.7
2010,89.3
2011,88.7
2012,88.7
2013,88.4
