date,Men,Women
1948,96.6,35.0
1949,96.5,35.7
1950,96.5,36.8
1951,96.8,38.1
1952,97.2,38.5
1953,97.4,38.3
1954,97.3,38.7
1955,97.4,39.8
1956,97.3,41.0
1957,97.1,41.5
1958,97.1,42.0
1959,97.1,42.3
1960,97.0,42.9
1961,96.9,43.3
1962,96.8,43.4
1963,96.8,44.2
1964,96.8,44.5
1965,96.7,45.2
1966,96.6,46.2
1967,96.6,47.3
1968,96.3,47.9
1969,96.1,49.1
1970,95.8,50.1
1971,95.5,50.3
1972,95.1,51.0
1973,95.0,52.3
1974,94.7,53.9
1975,94.4,55.1
1976,94.2,56.8
1977,94.2,58.5
1978,94.3,60.6
1979,94.4,62.3
1980,94.2,64.0
1981,94.1,65.3
1982,94.0,66.3
1983,93.8,67.1
1984,93.9,68.2
1985,93.9,69.6
1986,93.8,70.8
1987,93.7,71.9
1988,93.6,72.7
1989,93.7,73.6
1990,93.4,74.0
1991,93.1,74.1
1992,93.0,74.6
1993,92.6,74.6
1994,91.7,75.3
1995,91.6,75.6
1996,91.8,76.1
1997,91.8,76.7
1998,91.8,76.5
1999,91.7,76.8
2000,91.6,76.7
2001,91.3,76.4
2002,91.0,75.9
2003,90.6,75.6
2004,90.5,75.3
2005,90.5,75.3
2006,90.6,75.5
2007,90.9,75.4
2008,90.5,75.8
2009,89.7,75.6
2010,89.3,75.2
2011,88.7,74.7
2012,88.7,74.5
2013,88.4,73.9
