month,year,date,amt
1,2004,1/2004,4705
2,2004,2/2004,4549
3,2004,3/2004,4742
4,2004,4/2004,4568
5,2004,5/2004,4588
6,2004,6/2004,4443
7,2004,7/2004,4449
8,2004,8/2004,4474
9,2004,9/2004,4487
10,2004,10/2004,4820
11,2004,11/2004,4547
12,2004,12/2004,4427
1,2005,1/2005,4389
2,2005,2/2005,4250
3,2005,3/2005,4388
4,2005,4/2005,4278
5,2005,5/2005,4315
6,2005,6/2005,4432
7,2005,7/2005,4400
8,2005,8/2005,4491
9,2005,9/2005,4675
10,2005,10/2005,4269
11,2005,11/2005,4219
12,2005,12/2005,4115
1,2006,1/2006,4123
2,2006,2/2006,4174
3,2006,3/2006,3972
4,2006,4/2006,3900
5,2006,5/2006,4111
6,2006,6/2006,4318
7,2006,7/2006,4303
8,2006,8/2006,4195
9,2006,9/2006,4115
10,2006,10/2006,4352
11,2006,11/2006,4190
12,2006,12/2006,4187
1,2007,1/2007,4279
2,2007,2/2007,4220
3,2007,3/2007,4253
4,2007,4/2007,4313
5,2007,5/2007,4473
6,2007,6/2007,4342
7,2007,7/2007,4410
8,2007,8/2007,4576
9,2007,9/2007,4521
10,2007,10/2007,4325
11,2007,11/2007,4494
12,2007,12/2007,4618
1,2008,1/2008,4846
2,2008,2/2008,4902
3,2008,3/2008,4904
4,2008,4/2008,5220
5,2008,5/2008,5286
6,2008,6/2008,5540
7,2008,7/2008,5930
8,2008,8/2008,5851
9,2008,9/2008,6148
10,2008,10/2008,6690
11,2008,11/2008,7311
12,2008,12/2008,8029
1,2009,1/2009,8046
2,2009,2/2009,8796
3,2009,3/2009,9145
4,2009,4/2009,8908
5,2009,5/2009,9113
6,2009,6/2009,9024
7,2009,7/2009,8891
8,2009,8/2009,9029
9,2009,9/2009,8847
10,2009,10/2009,8979
11,2009,11/2009,9114
12,2009,12/2009,9098
1,2010,1/2010,8500
2,2010,2/2010,8904
3,2010,3/2010,9216
4,2010,4/2010,9181
5,2010,5/2010,8833
6,2010,6/2010,8607
7,2010,7/2010,8547
8,2010,8/2010,8829
9,2010,9/2010,9199
10,2010,10/2010,8870
11,2010,11/2010,8880
12,2010,12/2010,8941
1,2011,1/2011,8440
2,2011,2/2011,8403
3,2011,3/2011,8635
4,2011,4/2011,8664
5,2011,5/2011,8583
6,2011,6/2011,8486
7,2011,7/2011,8342
8,2011,8/2011,8820
9,2011,9/2011,9068
10,2011,10/2011,8675
11,2011,11/2011,8457
12,2011,12/2011,8177
1,2012,1/2012,8228
2,2012,2/2012,8133
3,2012,3/2012,7780
4,2012,4/2012,7913
5,2012,5/2012,8138
6,2012,6/2012,8154
7,2012,7/2012,8163
8,2012,8/2012,8045
9,2012,9/2012,8572
10,2012,10/2012,8231
11,2012,11/2012,8164
12,2012,12/2012,7929
1,2013,1/2013,7983
2,2013,2/2013,7991
3,2013,3/2013,7663
4,2013,4/2013,7929
5,2013,5/2013,7917
6,2013,6/2013,8194
7,2013,7/2013,8180
8,2013,8/2013,7898
9,2013,9/2013,7914
10,2013,10/2013,8016
11,2013,11/2013,7723
12,2013,12/2013,7771
1,2014,1/2014,7257
2,2014,2/2014,7186
3,2014,3/2014,7411
4,2014,4/2014,7465
5,2014,5/2014,7269
6,2014,6/2014,7544
7,2014,7/2014,7511
