date,Hires,Job Openings
7/1/09,0,0
8/1/09,1.3207547,-9.2165899
9/1/09,-3.2075472,15.6682028
10/1/09,-3.3962264,1.843318
11/1/09,3.0188679,7.3732719
12/1/09,1.1320755,7.8341014
1/1/10,1.509434,7.3732719
2/1/10,-3.7735849,-1.843318
3/1/10,3.7735849,-10.1382488
4/1/10,2.6415094,6.4516129
5/1/10,2.2641509,20.2764977
6/1/10,-1.3207547,10.5990783
7/1/10,2.6415094,29.0322581
8/1/10,2.4528302,38.7096774
9/1/10,6.4150943,15.6682028
10/1/10,4.7169811,29.4930876
11/1/10,3.9622642,24.4239631
12/1/10,0.1886792,19.3548387
1/1/11,-1.6981132,31.3364055
2/1/11,1.8867925,55.2995392
3/1/11,16.0377358,48.8479263
4/1/11,9.0566038,26.7281106
5/1/11,1.1320755,28.1105991
6/1/11,16.0377358,46.0829493
7/1/11,14.9056604,22.1198157
8/1/11,14.5283019,66.359447
9/1/11,14.1509434,65.8986175
10/1/11,12.2641509,72.3502304
11/1/11,18.490566,67.281106
12/1/11,16.2264151,80.1843318
1/1/12,19.0566038,73.2718894
2/1/12,14.7169811,57.1428571
3/1/12,26.7924528,73.7327189
4/1/12,14.5283019,81.1059908
5/1/12,15.8490566,80.1843318
6/1/12,15.6603774,91.7050691
7/1/12,16.7924528,94.9308756
8/1/12,26.6037736,76.4976959
9/1/12,17.9245283,48.3870968
10/1/12,19.4339623,83.8709677
11/1/12,18.8679245,97.235023
12/1/12,23.5849057,86.1751152
1/1/13,25.0943396,82.9493088
2/1/13,27.9245283,104.6082949
3/1/13,24.1509434,104.1474654
4/1/13,31.6981132,100.921659
5/1/13,26.9811321,100.4608295
6/1/13,26.0377358,106.9124424
7/1/13,24.1509434,108.2949309
8/1/13,23.5849057,110.1382488
9/1/13,27.7358491,122.1198157
10/1/13,27.3584906,109.6774194
11/1/13,22.8301887,119.8156682
12/1/13,26.0377358,121.6589862
1/1/14,26.7924528,134.1013825
2/1/14,33.2075472,135.483871
3/1/14,30,159.4470046
4/1/14,30.5660377,171.4285714
5/1/14,33.3962264,210.5990783
6/1/14,35.8490566,184.7926267
