date,real-wages
7/1/09,11.27917
8/1/09,11.29521
9/1/09,11.39132
10/1/09,11.33586
11/1/09,11.38322
12/1/09,11.34537
1/1/10,11.33916
2/1/10,11.37168
3/1/10,11.3795
4/1/10,11.37578
5/1/10,11.37981
6/1/10,11.39119
7/1/10,11.34942
8/1/10,11.36381
9/1/10,11.30742
10/1/10,11.27962
11/1/10,11.26344
12/1/10,11.22831
1/1/11,11.21648
2/1/11,11.18979
3/1/11,11.16375
4/1/11,11.12954
5/1/11,11.10746
6/1/11,11.11418
7/1/11,11.10695
8/1/11,11.06745
9/1/11,11.04182
10/1/11,11.03758
11/1/11,11.03973
12/1/11,11.04182
1/1/12,11.03435
2/1/12,11.02166
3/1/12,11.03349
4/1/12,11.06219
5/1/12,11.0868
6/1/12,11.08966
7/1/12,11.102
8/1/12,11.03531
9/1/12,11.00118
10/1/12,10.98428
11/1/12,11.02624
12/1/12,11.05061
1/1/13,11.03
2/1/13,11.01912
3/1/13,11.06394
4/1/13,11.08151
5/1/13,11.08153
6/1/13,11.05644
7/1/13,11.06761
8/1/13,11.08876
9/1/13,11.07405
10/1/13,11.11178
11/1/13,11.0801
12/1/13,11.13248
1/1/14,11.08688
2/1/14,11.13477
3/1/14,11.11252
4/1/14,11.09343
5/1/14,11.10342
6/1/14,11.08466
