date,All Jobs,Management,Business And Finance,Computer And Mathematical,Architecture And Engineering,Community And Social Services,Legal,Teachers And Librarians,"Arts, Entertainment, And Media","Doctors, Dentists, And Surgeons",Medical Assistants,Protective Services,Food Preparation And Serving,Building And Maintenance,Personal Care And Service,Sales,Office And Administrative Support,Construction And Mining,Mechanics And Repairmen,Factory,Transportation And Moving,Clear
001-0,4.9,3.4,2.1,2,1,3.1,0.5,1.1,6.6,8.4,9.5,24.8,6.5,5.7,6.5,2.7,3.9,2.8,5,10.2,8.4,0
001-1,4,2.7,1.3,1.1,1,2.6,0,0.1,5.3,6.5,8.9,19.5,5.3,3.8,5.1,1.7,4,2.1,3.5,9.3,8.1,0
001-2,3.1,1.6,0.9,1.4,0,3.2,0,0.1,0.8,7.5,7.7,15.5,4.1,3.2,5.4,1.4,2.4,1.4,3.2,7.9,6.6,0
001-3,3,1,0.5,0.7,0.3,2.3,1.8,0.1,0.8,8.3,8.6,19.8,2.3,2.5,3.9,1.5,1.7,2.5,3.4,6,7.5,0
001-4,4.4,2.8,0.6,0.6,2.2,2.7,0.5,0.5,3.8,10.5,12.1,24.8,2.4,2.7,6.6,2,3,2,4.6,9.1,12.5,0
001-5,6.3,3.5,1.4,0,4.5,3.9,0.5,0.9,3.3,11.3,13.1,26.8,5.3,4.1,7.1,2.9,4.1,6.6,10.7,16.2,17.1,0
001-6,13.8,9.3,5.8,3.8,10.9,8.2,1.6,3.5,5,18.1,22.8,33.9,14.6,11.8,12.6,6.6,11,20.5,23.6,33.3,32.6,0
001-7,28.3,25.9,23.1,20.9,37.4,10.6,3.5,15.6,14.4,36.7,27.5,39.1,21.3,37.2,20.9,15.7,21.6,52.1,47.6,51.3,47.2,0
001-8,51.3,52.4,58.7,52.1,64.2,40,,49.8,34.6,54.7,41.5,50.2,30.3,53.3,32.2,34.1,55.5,72.8,68.6,62,61.9,0
001-9,65.7,71.6,78.2,72.8,83.6,64.7,79.9,69.1,56,67.7,58.9,52.5,40.1,59.7,51.1,53,74,78.7,70,60.9,62.2,0
001-10,69.6,75.4,84.4,82.4,88.1,70.4,81.5,71.4,61.1,71.7,61.9,51.1,44.6,65.2,53.4,59.2,74.8,84.1,77.1,66,62.5,0
001-11,71.1,76.2,85.1,87,83.8,73.4,90.5,67.3,64.7,70.9,67.1,51.7,56.1,67,53.4,64.3,76.8,81.2,77.6,62.8,62.1,0
001-12,53.9,55.9,58.3,49.8,51.4,50.9,61.9,56,54.5,57.9,59.9,48.3,59.6,43.8,44.9,57.3,57.3,43.2,56.2,48.6,50.6,0
001-13,62.6,63.4,68.5,65.8,80.6,,,67.1,56.4,59.4,51,44.4,56.3,66.1,46.4,62.8,62.2,76.1,67,64.7,59.7,0
001-14,67.7,72.7,79.6,80,79.9,65.6,77.7,72.3,61.5,66.6,53.1,48.8,47.7,58.7,49.4,64.7,70.7,76,75.2,66.6,63.2,0
001-15,64.4,70.4,78.6,74.5,83.6,62.2,79.3,63,57.3,66,48.7,49,44.1,60.3,49,66.9,67.8,64.8,65.8,57.7,58.2,0
001-16,55.1,64.2,73.3,66.8,61.4,52.9,66.2,42.1,50.4,55.3,45.2,45.2,41.9,43.9,43.2,63.9,59.9,43.8,51.5,41.5,50.5,0
001-17,34.7,41.4,38.8,43.3,33.7,,39.7,25.3,41.6,40,35.9,40.3,42.8,28,30.5,45.6,27.1,20.7,24.9,30.1,32.3,0
001-18,20.6,22.5,18.9,14.3,11.3,20.4,21.3,10.6,19,25.6,18.8,30,41.6,19.3,26.7,31.2,13.4,9.5,14,19.5,22.7,0
001-19,16,15.8,7.6,9.4,3.6,17.5,5.6,8.6,20,20.7,18.9,28.4,39.4,17.3,23.6,24.1,8.9,8.7,13.6,15,18.1,0
001-20,13.3,13.4,6.6,5.5,5,12.6,7.3,10.9,19.9,14.3,14.1,28.2,36.6,16.8,18,17.1,7.2,5.7,11.4,13.3,14.4,0
001-21,11.9,12.5,5.8,8,3.4,10.2,4.9,9.7,15.1,13,13.2,28.1,32.6,12,16.5,15.4,5.9,5.2,9.1,13.4,12.9,0
001-22,9.7,8.9,4.5,6.4,2.6,11.8,6.3,5.2,16.5,11.8,14.3,30.1,23,11.6,13.3,9.6,6.5,3.9,6.5,12.9,10.5,0
001-23,7.2,6,2.8,4.6,1.5,4.9,2.5,3.1,6.5,11.5,13.5,29.3,11.2,7.8,12.2,6.4,4.5,2.5,6.6,12.8,10.3,0
002-0,4.9,3.4,2.1,2,1,3.1,0.5,1.1,6.6,8.4,9.5,24.8,6.5,5.7,6.5,2.7,3.9,2.8,5,10.2,8.4,0
