date,rate
1990,0.216241737
1991,0.249836894
1992,0.251042732
1993,0.206295098
1994,0.219047168
1995,0.232343395
1996,0.244023988
1997,0.274756982
1998,0.278145695
1999,0.294628099
2000,0.285142653
2001,0.291668002
2002,0.286376105
2003,0.270651042
2004,0.220467605
2005,0.198679472
2006,0.178602176
2007,0.187819619
2008,0.187896002
2009,0.172195831
2010,0.181872391
2011,0.15995985
2012,0.157860701
2013,0.152647918
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
