year,amt,pct
1959,39490,22.4
1960,39851,22.2
1961,39628,21.9
1962,38625,21
1963,36436,19.5
1964,36055,19
1965,33185,17.3
1966,28510,14.7
1967,27769,14.2
1968,25389,12.8
1969,24147,12.1
1970,25420,12.6
1971,25559,12.5
1972,24460,11.9
1973,22973,11.1
1974,23370,11.2
1975,25877,12.3
1976,24975,11.8
1977,24720,11.6
1978,24497,11.4
1979,26072,11.7
1980,29272,13
1981,31822,14
1982,34398,15
1983,35303,15.2
1984,33700,14.4
1985,33064,14
1986,32370,13.6
1987,32221,13.4
1988,31745,13
1989,31528,12.8
1990,33585,13.5
1991,35708,14.2
1992,38014,14.8
1993,39265,15.1
1994,38059,14.5
1995,36425,13.8
1996,36529,13.7
1997,35574,13.3
1998,34476,12.7
1999,32791,11.9
2000,31581,11.3
2001,32907,11.7
2002,34570,12.1
2003,35861,12.5
2004,37040,12.7
2005,36950,12.6
2006,36460,12.3
2007,37276,12.5
2008,39829,13.2
2009,43569,14.3
2010,46343,15.1
2011,46247,15
2012,46496,15
2013,45318,14.5
