rank,date,value
1,2009,Witch
2,2009,Vampire
3,2009,Pirate
4,2009,Clown
5,2009,Vixen
6,2009,Cat
7,2009,Devil
8,2009,Athlete
9,2009,Police
10,2009,Pumpkin
11,2009,Ghost
12,2009,Nurse
13,2009,Zombie
1,2010,Witch
2,2010,Vampire
3,2010,Pirate
4,2010,Nurse
5,2010,Vixen
6,2010,Cat
7,2010,Zombie
8,2010,Fairy
9,2010,Athlete
10,2010,Batman
11,2010,Dracula
12,2010,Ghost
13,2010,Clown
1,2011,Witch
2,2011,Pirate
3,2011,Vampire
4,2011,Zombie
5,2011,Batman
6,2011,Cat
7,2011,Vixen
8,2011,Ghost
9,2011,Nurse
10,2011,Cowboy
11,2011,Devil
12,2011,Clown
13,2011,Fairy
1,2012,Witch
2,2012,Vampire
3,2012,Pirate
4,2012,Batman
5,2012,Zombie
6,2012,Vixen
7,2012,Princess
8,2012,Ghost
9,2012,Nurse
10,2012,Cat
11,2012,Superman
12,2012,Political
13,2012,Devil
1,2013,Witch
2,2013,Batman
3,2013,Vampire
4,2013,Zombie
5,2013,Pirate
6,2013,Superhero
7,2013,Superman
8,2013,Dracula
9,2013,Cat
10,2013,Athlete
11,2013,Clown
12,2013,Ghost
13,2013,Rock Star
