show,first_episode,last_episode,group,network,duration
I Love Lucy,10/1/1951,5/1/1957,Multiracial,CBS,5.6
The Lucille Ball-Desi Arnaz Show,11/1/1957,4/1/1960,Multiracial,CBS,2.4
Julia,9/17/1968,3/23/1971,Black,NBC,2.5
Sanford and Son,1/14/1972,3/25/1977,Black,NBC,5.2
Good Times,2/8/1974,8/1/1979,Black,CBS,15.5
Chico and the Man,9/13/1974,7/21/1978,Multiracial,NBC,3.9
That's My Mama,11/4/1974,12/24/1975,Black,ABC,1.1
The Jeffersons,1/18/1975,7/2/1985,Black,CBS,10.5
"Welcome Back, Kotter",9/9/1975,6/8/1979,Multiracial,ABC,3.7
Grady,12/4/1975,4/4/1976,Black,NBC,0.3
Viva Valdez,5/1/1975,9/1/1976,Latino,ABC,1.3
What's Happening!!,8/5/1976,4/28/1979,Black,ABC,2.7
Mr. T and Tina,9/25/1976,10/30/1976,Multiracial,ABC,0.1
"¿Qué Pasa, U.S.A.?",5/1/1977,1/1/1980,Latino,PBS,2.7
Diff'rent Strokes,11/3/1978,3/7/1986,Multiracial,NBC,7.3
aka Pablo,3/6/1984,4/10/1984,Latino,ABC,0.1
The Cosby Show,9/20/1984,4/30/1992,Black,NBC,7.6
Webster,9/16/1983,3/10/1989,Multiracial,ABC,5.5
227,9/14/1985,5/6/1990,Black,NBC,4.6
Charlie & Co,9/18/1985,5/16/1986,Black,CBS,0.7
Amen,9/27/1986,5/11/1991,Black,NBC,4.6
Melba,1/28/1986,9/13/1986,Black,CBS,0.6
A Different World,9/24/1987,7/9/1993,Black,NBC,5.8
Family Matters,9/22/1989,7/17/1998,Black,ABC,8.8
True Colors,9/2/1990,4/12/1992,Multiracial,Fox,1.6
Fresh Prince of Bel-Air,9/10/1990,5/20/1996,Black,NBC,5.7
You Take the Kids,12/15/1990,1/12/1991,Black,CBS,0.1
Roc,8/25/1991,5/10/1994,Black,FOX,2.7
Hangin' with Mr. Cooper,9/22/1992,8/30/1997,Black,ABC,4.9
Thea ,9/3/1992,2/14/1994,Black,ABC,1.4
On Our Own,9/13/1994,4/14/1995,Black,ABC,0.6
Moesha,1/23/1996,5/14/2001,Black,UPN,5.3
All-American Girl,9/14/1994,3/15/1995,Asian-American,ABC,0.5
"Sister, Sister",9/14/1994,5/23/1999,Black,"ABC, WB",4.7
The Parent 'Hood,1/18/1995,7/25/1999,Black,WB,4.5
Smart Guy,4/2/1997,5/16/1999,Black,WB,2.1
The Hughleys,9/22/1998,5/20/2002,Multiracial,"ABC, UPN",3.7
The PJs,1/10/1999,7/1/2001,Black,FOX,2.5
One on One,9/3/2001,5/16/2006,Black,UPN,4.7
My Wife and Kids,3/28/2001,5/17/2005,Black,ABC,4.1
The Bernie Mac Show,11/14/2001,4/14/2006,Black,Fox,4.4
The George Lopez Show,3/27/2002,9/7/2007,Latino,ABC,5.4
The Tracy Morgan Show,12/1/2003,3/1/2004,Black,,0.8
All of Us,9/16/2003,5/15/2007,Black,UPN,3.7
Everybody Hates Chris,9/22/2005,5/8/2009,Black,UPN,3.6
Freddie ,10/5/2005,4/12/2006,Latino,ABC,0.5
Ugly Betty,9/28/2006,4/14/2010,Latino,ABC,3.5
Modern Family,9/23/2009,12/31/2014,Multiracial,ABC,6.3
Black-ish,9/24/2014,12/31/2014,Black,ABC,1.3
Cristela,10/10/2014,12/31/2014,Latino,ABC,1.2
Fresh Off the Boat,11/30/2014,12/31/2014,Asian-American,ABC,1.0
