date,5 percentile,10 percentile,15 percentile,20 percentile,25 percentile,30 percentile,35 percentile,40 percentile,45 percentile,50 percentile,55 percentile,60 percentile,65 percentile,70 percentile,75 percentile,80 percentile,85 percentile,90 percentile,95 percentile,clear 
1973,8196.826,12253.89,16378.15,21086.41,25841.19,30802.7,35764.21,40446.63,45335.79,50245.61,54835.01,60122.12,65424.73,71838.52,78221.29,86428.45,97131.88,112584.9,143661.5,0
1974,8380.035,12323.31,16424.87,20782.49,25140.11,29912.07,34711.97,39539.8,44227.96,48841.64,53771.89,58650.94,64302.8,69926.74,76677.32,84731.47,95439.29,110686.3,141901.9,0
1975,8488.658,12186.98,16073,20423.97,24655.5,29206.96,33784,38390.91,42656.57,47050.2,51610.19,56549.82,62065.31,67960.45,74525.3,82261.07,91711.63,106641.4,133881.9,0
1976,8565.652,12243.56,16018.25,20034.92,24196.76,28596.54,32976.15,37634.02,42162.85,47183.68,51902.04,56975.3,62282.45,68214.7,74538.11,81885.86,92032.37,105054.3,129452.7,0
1977,8522.324,12196.39,16097.72,20271.77,24521.57,29044.08,33521.14,37971.69,42819.95,47740.17,53027.8,57951.8,63618.2,68989.16,75753.99,83427.88,93336.49,107002.5,132304.3,0
1978,8449.575,12267.9,16036.95,20017.15,24352.79,28530.07,33231.71,37820.73,42511.82,47509.07,52787.85,57735.83,63345.42,69679.96,76225.66,84460.56,93853.28,107687.2,133729.2,0
1979,8300.398,12033.05,15816.31,19912.73,24072.42,28469.35,32796.7,37557.4,42071.38,47448.92,52004.02,57049.42,62980.54,68699.71,75472.26,83026.13,93316.21,107481.3,132945.5,0
1980,7903.849,11429.37,15328.34,19508.79,23549.9,27869.71,31908.03,36236.19,41035.36,45706.32,50722.86,55792.36,61302.21,66931.88,73297.33,80955.92,90570.97,104915.5,130987.6,0
1981,7726.271,11324.29,14970.28,18808.17,22865.72,26764.21,30978.3,35351.47,39767.57,44605.32,49486,54164.69,59525.11,65178.41,71808.87,79383.64,89293.97,103269.4,127003.7,0
1982,7848.888,11480.78,15046.08,19027.61,23263.63,27040.61,31010.24,35676.77,40205.34,45190.57,49947.47,55037.36,60650.5,66715.55,73494.13,81542.81,91570.36,106516.5,131281,0
1983,8032.726,11585.66,15182.41,19189.54,23512.55,27667.25,32204.68,36659.11,41385.6,46112.09,50803.99,56139.16,61674.92,68245.89,75204.2,83739.55,94972.46,110669,138336.3,0
1984,7952.781,11410.03,15304.69,19360.6,23363.5,27481.28,31899.49,36317.7,40868.46,45699.77,50862.45,55930.14,61965.42,68482.28,75878.37,84577.83,95102.01,110897.1,138731.8,0
1985,8330.432,12034.74,15790.27,20064.31,24325.54,28601.72,33074.21,37704.59,42676.39,47498.83,52961.41,58206.33,64238.64,71269.58,79143.38,88122.48,99636.58,115926.2,145987.4,0
1986,8372.498,12232.22,16008.22,20621.46,25117.49,29441.89,34149.32,38984.44,43955.61,49251.22,54479.84,60459.9,66624.15,73518.91,81631.85,91050.91,103484.1,119416.9,150705,0
1987,8147.928,11973.33,16136.21,20551.69,25219.78,29932.32,34426.61,39428.13,44466.03,50003.06,55475.43,61351.96,67717.53,74812.61,82853.44,92601.85,104880.3,121794.6,155606.8,0
1988,8269.641,12041.45,16250.04,20825.52,25280.64,30011.42,34942.14,39601.1,44696.82,50277.86,56295.68,62119.37,68331.3,75727.39,83667.02,93703.18,106379.4,123706.8,156878.6,0
1989,8313.892,12041.06,16357.32,20886.62,25386.27,29826.64,34802.38,39665.12,45052.1,50109.35,55759.39,61878.1,68541.44,75295.55,83661.31,93610.94,106331.9,123967.4,158460.4,0
1990,8434.809,12604.77,16802.84,21143.25,25859.72,30310.84,35146.79,40241.07,45170.16,50675.63,56232.06,62025.72,68759.51,75913.28,84541.38,94280.08,107368.1,126251.5,161162.8,0
1991,8220.018,12285.34,16817.73,20979.17,25460.98,30350.83,35031.61,39769.71,44681.48,50304.82,55471.21,60946.16,67500.26,75034.01,83409.15,93075.89,105890.7,124775.6,159473.4,0
1992,8181.964,12076.58,16363.93,20456.55,24709.53,29471.44,34221.88,39103.24,43789.87,49091.79,54342.97,60561.26,67041.38,74154.78,82637.84,92713.11,105549,123982.9,157583,0
1993,8066.755,11918.96,15917.38,20025.45,24155.77,28764.44,33373.1,38482.36,43226.11,48373.52,54280.55,60389.42,66779.58,74453.8,82638.16,92411.71,104886.9,123911.1,157648.2,0
1994,7899.848,11859.07,15787.3,19981.97,24182.83,28736.86,33267.65,38109.79,42907.02,48018.68,53749.94,59947.45,66704.14,74661.3,83025.85,93352.96,107019.7,126506,159133.9,0
1995,8276.431,12083.92,16121.94,20190.09,24205.51,28778.41,33283.52,37931.75,43242.95,48426.08,54242.03,60416.59,67261.63,75351.23,84087.2,94622.21,108396.7,127782.2,160467.5,0
1996,8596.532,12699.39,16832.99,21025.13,25183.61,29457.72,34579.34,39361.38,44114.13,49767.09,55380.52,61478.46,68210.19,75968,84934.86,95538.17,109596.6,129174.9,166778.3,0
1997,8581.804,12733.97,17052.04,21079.77,25525.14,30036.31,34909.35,39657.95,44605.36,50306.54,56790.09,62936.09,70156.24,77951.38,86676.22,97456.39,111080,132122.6,171385.8,0
1998,8583.482,12966.78,17237.39,21665.76,26339.21,30987.3,35725.54,41128.6,46480.95,52013.59,58030.76,64791.63,71998.99,80285.28,90020.92,100990.4,116143.2,138403.4,179712.3,0
1999,8629.448,13350.08,17876.37,22142.16,27276.28,32045.15,36938.06,41883.35,47674.91,53499.55,59824.5,66766.93,74048.41,82697.16,92219.73,103840.1,118930.9,140599,183072.2,0
2000,9016.38,13792.58,18475.45,22895.63,27627.83,32613.37,37377.57,42668.46,48131.36,54070.28,60669.22,67522.84,75664.52,84016.88,94198.63,106671.2,122125.1,144655.4,190640.7,0
2001,8917.221,13687.08,18320.77,23203.45,27942.18,32582.35,37795.74,42796.44,48515.6,54468.19,60952.5,67885.52,76025.92,84490.54,94805.78,106640.9,123201.9,145780.2,190332.6,0
2002,8807.804,13571.68,18070.04,22849.23,27444.6,32167.63,37632.3,42507.22,47996.14,53772.28,61025.31,67797.11,76207.92,84784.68,95609.34,107355.6,123687.1,146163.6,193202.4,0
2003,8422.79,13201.94,17469.49,22258.63,26683.4,31342.76,36720.87,41608.58,47292.4,52883.89,59895.39,66458.93,74869.24,83255.84,93586.55,105191.3,121107.2,143032.7,187692.2,0
2004,8225.835,12761.71,17052.08,21797,26276.97,30880.91,36395.19,41323.64,46822.11,52456.71,59418.53,66326.88,74019.14,83279.28,93342.8,105861.4,121679.9,144221.9,188200,0
2005,8054.373,12804.69,17165.81,21668.03,25995.05,30571.34,35274.63,40683.4,46105.11,51850.17,58791.04,65258.05,72929.11,81813.62,91714.02,103670.9,119345.8,142288.4,184822.6,0
2006,8133.326,12815.11,17086.82,21757.22,26211.18,30826.9,35800.3,41008.37,46457.92,52400.72,58550.83,65884.49,73514.33,82096.47,92268.82,104853.8,120655.7,144483.9,189094.1,0
2007,8327.149,13288,17717.34,22157.75,27240.41,32021.88,36542.01,41870.5,47035.11,53174.16,59512.54,66455.52,74618.79,83492.96,94154.37,107868.7,123264,148079.3,192698.2,0
2008,8358.208,12952.24,17066.28,21616.57,26666.05,31572.61,36319.17,41749.44,47166.92,53332.11,59518.63,66345.14,74716.15,83682.34,94178.1,106698.4,122663.9,145527.3,188788.2,0
2009,8560.539,13008.81,17655.04,22157.88,26751.68,31734.99,36452.91,41732.63,47206.02,53503.37,59932.33,67414.24,75461.15,84671.22,95378.31,107569.6,123782.2,148497.5,192612.1,0
2010,8422.561,12739.12,17283.09,21477.53,26278.39,30637.06,35458.98,40503.04,45797.67,52196.71,58045.13,65184.3,73486.84,81996.78,92606.05,105284.1,121179.6,145196.5,189507.6,0
2011,7680.112,12087.7,16058.42,20414.97,24498.98,28999.46,33684.7,38788.44,43930.97,50118.75,56141.17,62776.03,71255.39,79618.38,89825.87,102104.5,118009.2,141803.4,184367.6,0
2012,7560,12000,16000,20247,24914,29250,33800,38500,43789,50000,55529,62416,70050,79000,89986,101582,118560,143489,186256,0
2013,8000,12395,16798,20855,25470,30025,35028,40158,46000,51816,58550,65500,73759,82001,93102,105850,123500,150000,195968,0
