date,v4,v10,v19,name,gap
1993,23993.39,49978.16,138890.8,Ages 25 to 35,88912.6
1994,24077.9,51868.08,141921.3,Ages 25 to 35,90053.25
1995,25125.49,52856.02,146457.1,Ages 25 to 35,93601.05
1996,26124.05,53168.9,146474.4,Ages 25 to 35,93305.48
1997,26296.44,55161.56,152234.9,Ages 25 to 35,97073.33
1998,27507.94,57165.29,157204.6,Ages 25 to 35,100039.3
1999,28427.94,58764.77,172689.1,Ages 25 to 35,113924.3
2000,30062.98,59801.25,173997.5,Ages 25 to 35,114196.3
2001,28948.61,59213.07,169678.3,Ages 25 to 35,110465.3
2002,28493.94,58283.06,166121,Ages 25 to 35,107837.9
2003,26587.83,56214.26,167610.9,Ages 25 to 35,111396.7
2004,27180.8,55514.64,161951.5,Ages 25 to 35,106436.9
2005,26249.12,56335.03,165157.5,Ages 25 to 35,108822.5
2006,27739.11,56634.02,167012.6,Ages 25 to 35,110378.6
2007,26980.77,56312,170114.6,Ages 25 to 35,113802.6
2008,25974.15,55195.07,165044.1,Ages 25 to 35,109849
2009,24732.96,54084.63,164596.9,Ages 25 to 35,110512.3
2010,23607.92,53182.99,158322.6,Ages 25 to 35,105139.6
2011,22785.2,51793.86,160920.5,Ages 25 to 35,109126.6
2012,22930.83,51543.64,160414.4,Ages 25 to 35,108870.7
2013,23400,52500,164002,Ages 25 to 35,111502
1993,31841.23,65219.13,172397.7,Ages 35 to 45,107178.5
1994,31433.29,65335.68,174454.8,Ages 35 to 45,109119.1
1995,31842.95,66413.24,188498.5,Ages 35 to 45,122085.3
1996,31636.98,65792.8,192759.6,Ages 35 to 45,126966.8
1997,31796.63,66820.81,195918.6,Ages 35 to 45,129097.8
1998,34297.75,68911.33,203494.2,Ages 35 to 45,134582.8
1999,34681.86,70790.15,210468.5,Ages 35 to 45,139678.4
2000,35175.62,72797.29,213394.2,Ages 35 to 45,140596.9
2001,34125.15,70092.48,217769.9,Ages 35 to 45,147677.4
2002,32397.61,69246.76,215197.9,Ages 35 to 45,145951.2
2003,32918.26,69634.78,213930.7,Ages 35 to 45,144295.9
2004,32065.48,69618.67,216208.3,Ages 35 to 45,146589.6
2005,32345.52,69195.92,222655.8,Ages 35 to 45,153459.9
2006,33055.77,69347.78,221247.2,Ages 35 to 45,151899.4
2007,32893.98,69659.7,211918.3,Ages 35 to 45,142258.6
2008,31168.98,68182.15,215916.6,Ages 35 to 45,147734.5
2009,30400.48,65306.75,212433.2,Ages 35 to 45,147126.4
2010,29071.93,64923.93,213663.5,Ages 35 to 45,148739.5
2011,28481.5,63761.27,209019,Ages 35 to 45,145257.7
2012,28409.88,64507.68,213074.1,Ages 35 to 45,148566.4
2013,28300,64800,210052,Ages 35 to 45,145252
1993,33382.74,74237.61,195904.1,Ages 45 to 55,121666.5
1994,34419.46,74146.43,198026.6,Ages 45 to 55,123880.2
1995,33862.46,73534.3,216586.8,Ages 45 to 55,143052.5
1996,34604.34,74601.32,219519.3,Ages 45 to 55,144917.9
1997,34459.65,75314.91,226853.2,Ages 45 to 55,151538.3
1998,35786.9,77173.15,232062.5,Ages 45 to 55,154889.3
1999,36779.55,79712.34,247385.1,Ages 45 to 55,167672.8
2000,36528.52,78302.27,250558.6,Ages 45 to 55,172256.3
2001,34947.55,76384.86,241984.1,Ages 45 to 55,165599.2
2002,34765.2,76508.82,234285,Ages 45 to 55,157776.1
2003,34184.35,75965.22,229382,Ages 45 to 55,153416.8
2004,32157.97,74805.48,232271.9,Ages 45 to 55,157466.4
2005,33631.61,74518.05,242782.3,Ages 45 to 55,168264.2
2006,34108.71,74895.6,240105.1,Ages 45 to 55,165209.5
2007,33292.84,73212.34,232460,Ages 45 to 55,159247.7
2008,30844.3,69622.63,227763,Ages 45 to 55,158140.4
2009,29314.75,69486.82,230763.6,Ages 45 to 55,161276.8
2010,26777.37,66336.13,227505.6,Ages 45 to 55,161169.5
2011,27197.24,65993.18,229923.4,Ages 45 to 55,163930.2
2012,27418.58,66983.39,226974.6,Ages 45 to 55,159991.3
2013,28028,67009,233930,Ages 45 to 55,166921
1993,23021.08,53860.96,178979.7,Ages 55 to 65,125118.8
1994,22789.14,55123,188217.9,Ages 55 to 65,133094.9
1995,24133.31,58124.2,201899.8,Ages 55 to 65,143775.6
1996,23067.58,59112.54,196808.1,Ages 55 to 65,137695.6
1997,24247.29,59931.78,218959.9,Ages 55 to 65,159028.1
1998,24812.6,61629.9,219926.3,Ages 55 to 65,158296.4
1999,24098.3,62427.34,228648.5,Ages 55 to 65,166221.2
2000,25300.74,60645.47,216261,Ages 55 to 65,155615.6
2001,24474.73,60021,224328,Ages 55 to 65,164307
2002,24866.14,60999.05,225775.6,Ages 55 to 65,164776.6
2003,25321.74,62467.46,227895.7,Ages 55 to 65,165428.2
2004,25440.77,61821.2,216413,Ages 55 to 65,154591.8
2005,25721.79,62300.19,221589.2,Ages 55 to 65,159289
2006,26352.16,63286.79,224387.5,Ages 55 to 65,161100.7
2007,25960.6,64732.96,227580.5,Ages 55 to 65,162847.5
2008,25265.27,62242.72,223269.5,Ages 55 to 65,161026.8
2009,25402.86,61809.61,222667.3,Ages 55 to 65,160857.7
2010,23604.72,60012.2,215569.2,Ages 55 to 65,155557
2011,22785.2,57584.41,217002.1,Ages 55 to 65,159417.7
2012,22829.37,59392.88,218923.5,Ages 55 to 65,159530.6
2013,21962,57739,221500,Ages 55 to 65,163761
