date,v4,v10,v19,name,gap
1993,20800.72,46221.14,130770.4,High School Diploma,84549.28
1994,21066.59,47149.94,133596.2,High School Diploma,86446.28
1995,22456.24,47697.92,135602.7,High School Diploma,87904.81
1996,21757.67,47673.79,138564.4,High School Diploma,90890.61
1997,22044.31,48870.45,140786.1,High School Diploma,91915.62
1998,21837.14,49047.82,142054.3,High School Diploma,93006.51
1999,22624.32,49505.55,146272.1,High School Diploma,96766.59
2000,22322.99,49213.39,145302.4,High School Diploma,96088.97
2001,21711.46,47008.6,146090.5,High School Diploma,99081.89
2002,20515.64,45868.77,141174.5,High School Diploma,95305.77
2003,20966.4,46500.84,146886.3,High School Diploma,100385.5
2004,20795.33,45793.39,142721.1,High School Diploma,96927.72
2005,20162.26,45335.26,144798.4,High School Diploma,99463.18
2006,20835.54,45156.96,144474.5,High School Diploma,99317.59
2007,19846.27,44941.74,142733.8,High School Diploma,97792.11
2008,19588.84,43281.59,139131.6,High School Diploma,95850.03
2009,19572.48,42948.29,137221.3,High School Diploma,94272.98
2010,18279.58,41440.99,136296.8,High School Diploma,94855.78
2011,18186.73,40599.08,136060.8,High School Diploma,95461.69
2012,18060.57,40342.03,134439.6,High School Diploma,94097.58
2013,17072,40118,136011,High School Diploma,95893
1993,11658.08,25157.58,91942.41,No High School Diploma,66784.82
1994,11693.19,24826.02,94884.54,No High School Diploma,70058.52
1995,12230.24,25585.65,93997.01,No High School Diploma,68411.35
1996,12178.35,25990.39,97129.79,No High School Diploma,71139.41
1997,12007.54,25630.32,98829.32,No High School Diploma,73199
1998,12223.37,26296.04,99673.41,No High School Diploma,73377.38
1999,12586.16,27270.01,97962.27,No High School Diploma,70692.26
2000,12525.23,27304.4,102212.2,No High School Diploma,74907.83
2001,12537.38,27348.54,103951.8,No High School Diploma,76603.28
2002,12433.72,27136.59,103531.4,No High School Diploma,76394.85
2003,12411.45,26334.61,101287,No High School Diploma,74952.35
2004,12172.85,25816.89,99533.47,No High School Diploma,73716.58
2005,12114.06,27019.81,102646.2,No High School Diploma,75626.38
2006,12323.1,27392.37,103733.9,No High School Diploma,76341.5
2007,11828.67,25562.86,99096.53,No High School Diploma,73533.67
2008,11641.83,25435.19,99567.58,No High School Diploma,74132.39
2009,11947.39,26057.56,98230.48,No High School Diploma,72172.92
2010,11080.77,24441.14,94761.78,No High School Diploma,70320.64
2011,11392.6,24190.63,94738.78,No High School Diploma,70548.16
2012,10958.1,23336.69,89334.87,No High School Diploma,65998.18
2013,11340,25000,94100,No High School Diploma,69100
1993,42851.1,82706.24,196720,Bachelors Degree,114013.7
1994,42434.95,82198.06,203701.9,Bachelors Degree,121503.8
1995,42848.63,80884.66,225137.2,Bachelors Degree,144252.6
1996,43054.93,81758.33,231543.2,Bachelors Degree,149784.8
1997,44640.09,85623.05,239746,Bachelors Degree,154122.9
1998,45660.78,89177.86,249746.6,Bachelors Degree,160568.7
1999,46538.02,90662.29,264952.6,Bachelors Degree,174290.3
2000,46573.87,90115.88,279567.7,Bachelors Degree,189451.8
2001,45416.42,88688.02,283006.9,Bachelors Degree,194318.9
2002,45331.27,89455.44,248042.4,Bachelors Degree,158586.9
2003,43206.48,87138.44,253290.8,Bachelors Degree,166152.4
2004,42420.6,84732.69,247970.4,Bachelors Degree,163237.8
2005,42579.35,86951.84,254698.3,Bachelors Degree,167746.4
2006,43522.67,87828.96,256889.6,Bachelors Degree,169060.7
2007,44809.16,87636.39,252163.6,Bachelors Degree,164527.2
2008,41797.82,84848.89,249323.7,Bachelors Degree,164474.8
2009,39861.55,81538.44,242458,Bachelors Degree,160919.5
2010,39204.11,80117.39,238461.4,Bachelors Degree,158344
2011,39311.71,80842.91,246893.1,Bachelors Degree,166050.2
2012,38414.21,81171.09,241543.8,Bachelors Degree,160372.8
2013,38072,79246,242487,Bachelors Degree,163241
