date,Medical School,Law School,Physical Sciences,Computer science
1966,0.09,0.04,0.14,0.146
1967,0.1,0.04,0.14,0.108
1968,0.1,0.05,0.14,0.12
1969,0.09,0.07,0.14,0.13
1970,0.09,0.07,0.14,0.129
1971,0.11,0.1,0.15,0.136
1972,0.14,0.12,0.16,0.136
1973,0.17,0.16,0.16,0.149
1974,0.2,0.2,0.17,0.164
1975,0.22,0.24,0.19,0.19
1976,0.24,0.27,0.2,0.198
1977,0.25,0.28,0.2,0.239
1978,0.25,0.3,0.22,0.258
1979,0.25,0.33,0.23,0.281
1980,0.28,0.33,0.24,0.303
1981,0.29,0.36,0.25,0.325
1982,0.31,0.37,0.26,0.348
1983,0.31,0.38,0.28,0.364
1984,0.33,0.39,0.29,0.372
1985,0.33,0.4,0.3,0.369
1986,0.34,0.4,0.3,0.358
1987,0.35,0.36,0.3,0.348
1988,0.36,0.43,0.32,0.325
1989,0.37,0.43,0.31,0.308
1990,0.38,0.43,0.32,0.302
1991,0.38,0.42,0.32,0.296
1992,0.4,0.43,0.33,0.289
1993,0.42,0.43,0.34,0.283
1994,0.42,0.44,0.35,0.286
1995,0.42,0.44,0.36,0.285
1996,0.43,0.45,0.37,0.276
1997,0.43,0.45,0.39,0.272
1998,0.43,0.46,0.39,0.269
1999,0.44,0.47,0.4,0.281
2000,0.46,0.49,0.41,0.28
2001,0.46,0.49,0.42,0.276
2002,0.48,0.49,0.43,0.275
2003,0.45,0.44,0.42,0.27
2004,0.47,0.45,0.42,0.251
2005,0.49,0.49,0.43,0.223
2006,0.48,0.47,0.42,0.207
2007,0.49,0.46,0.41,0.186
2008,0.48,0.47,0.41,0.177
2009,0.48,0.47,0.42,0.179
2010,0.48,0.47,0.41,0.182
2011,0.47,tk,tk,0.177
2012,0.47,tk,tk,0.182
2013,0.46,tk,,0.179
