date,babyboom,genx ,millennials
1/1/1963,8.7,,
2/1/1963,8.7,,
3/1/1963,8.5,,
4/1/1963,8.8,,
5/1/1963,8.5,,
6/1/1963,8.8,,
7/1/1963,8.9,,
8/1/1963,8.9,,
9/1/1963,9.1,,
10/1/1963,9.3,,
11/1/1963,8.8,,
12/1/1963,8.6,,
1/1/1964,9.1,,
2/1/1964,9.1,,
3/1/1964,8.7,,
4/1/1964,8.5,,
5/1/1964,8.3,,
6/1/1964,8.3,,
7/1/1964,8,,
8/1/1964,8,,
9/1/1964,8,,
10/1/1964,8.5,,
11/1/1964,7.6,,
12/1/1964,7.5,,
1/1/1965,7.4,,
2/1/1965,7.5,,
3/1/1965,7.2,,
4/1/1965,7.5,,
5/1/1965,7.2,,
6/1/1965,7,,
7/1/1965,6.5,,
8/1/1965,6.4,,
9/1/1965,5.7,,
10/1/1965,5.7,,
11/1/1965,6.4,,
12/1/1965,5.9,,
1/1/1966,5.5,,
2/1/1966,5,,
3/1/1966,5.4,,
4/1/1966,5.4,,
5/1/1966,5.6,,
6/1/1966,5.5,,
7/1/1966,4.6,,
8/1/1966,5.4,,
9/1/1966,5,,
10/1/1966,5,,
11/1/1966,5.1,,
12/1/1966,5.9,,
1/1/1967,5.9,,
2/1/1967,5,,
3/1/1967,5.5,,
4/1/1967,5.4,,
5/1/1967,5.5,,
6/1/1967,5.7,,
7/1/1967,6,,
8/1/1967,5.4,,
9/1/1967,6.1,,
10/1/1967,5.8,,
11/1/1967,5.7,,
12/1/1967,6.1,,
1/1/1968,6,,
2/1/1968,6.2,,
3/1/1968,6.1,,
4/1/1968,5.5,,
5/1/1968,5.6,,
6/1/1968,6.5,,
7/1/1968,5.4,,
8/1/1968,6,,
9/1/1968,5.5,,
10/1/1968,5.7,,
11/1/1968,5.7,,
12/1/1968,5.6,,
1/1/1969,5.5,,
2/1/1969,5.5,,
3/1/1969,5.5,,
4/1/1969,5.6,,
5/1/1969,5.4,,
6/1/1969,5.6,,
7/1/1969,5.7,,
8/1/1969,5.4,,
9/1/1969,6.2,,
10/1/1969,6,,
11/1/1969,5.8,,
12/1/1969,5.9,,
1/1/1970,6.4,,
2/1/1970,7.4,,
3/1/1970,6.9,,
4/1/1970,7.5,,
5/1/1970,7.8,,
6/1/1970,7.8,,
7/1/1970,8.5,,
8/1/1970,8.4,,
9/1/1970,9.3,,
10/1/1970,9.1,,
11/1/1970,9.8,,
12/1/1970,10,,
1/1/1971,9.8,,
2/1/1971,10,,
3/1/1971,10.1,,
4/1/1971,10,,
5/1/1971,10.5,,
6/1/1971,10.4,,
7/1/1971,9.7,,
8/1/1971,10.1,,
9/1/1971,9.7,,
10/1/1971,9.5,,
11/1/1971,10.4,,
12/1/1971,9.9,,
1/1/1972,9.9,,
2/1/1972,9.2,,
3/1/1972,9.8,,
4/1/1972,9.6,,
5/1/1972,9.5,,
6/1/1972,9.1,,
7/1/1972,9.7,,
8/1/1972,9.1,,
9/1/1972,9.2,,
10/1/1972,9.6,,
11/1/1972,8.7,,
12/1/1972,8.5,,
1/1/1973,8.1,,
2/1/1973,8,,
3/1/1973,7.8,,
4/1/1973,8,,
5/1/1973,7.8,,
6/1/1973,8,,
7/1/1973,8.1,,
8/1/1973,7.9,,
9/1/1973,8.1,,
10/1/1973,7.1,,
11/1/1973,7.4,,
12/1/1973,7.7,,
1/1/1974,8.3,,
2/1/1974,8.4,,
3/1/1974,8,,
4/1/1974,8,,
5/1/1974,8.6,,
6/1/1974,8.7,,
7/1/1974,9,,
8/1/1974,9.7,,
9/1/1974,9.6,,
10/1/1974,9.3,,
11/1/1974,10.5,,
12/1/1974,11.6,,
1/1/1975,12.2,,
2/1/1975,13.1,,
3/1/1975,13.8,,
4/1/1975,14.4,,
5/1/1975,14.7,,
6/1/1975,13.3,,
7/1/1975,13.9,,
8/1/1975,13.5,,
9/1/1975,13.9,,
10/1/1975,13.7,,
11/1/1975,13.6,,
12/1/1975,12.9,,
1/1/1976,12.7,,
2/1/1976,11.9,,
3/1/1976,11.9,,
4/1/1976,12,,
5/1/1976,11.5,,
6/1/1976,11.9,,
7/1/1976,11.5,,
8/1/1976,12,,
9/1/1976,11.7,,
10/1/1976,12.4,,
11/1/1976,12.3,,
12/1/1976,12.1,,
1/1/1977,11.4,,
2/1/1977,12,,
3/1/1977,11.4,,
4/1/1977,11,,
5/1/1977,11,,
6/1/1977,10.9,,
7/1/1977,10.7,,
8/1/1977,11.3,,
9/1/1977,10.7,,
10/1/1977,10.4,,
11/1/1977,10.5,,
12/1/1977,10.1,,
1/1/1978,10.6,,
2/1/1978,10.3,,
3/1/1978,10.3,,
4/1/1978,10.1,,
5/1/1978,9.2,,
