age,population
0,3941985
1,3955900
2,3968610
3,4003542
4,3996918
5,4008278
6,4133940
7,4154522
8,4113160
9,4102613
10,4111107
11,4079207
12,4073131
13,4173964
14,4224190
15,4159458
16,4159903
17,4175915
18,4219838
19,4313093
20,4401431
21,4476860
22,4598572
23,4686856
24,4662126
25,4487122
26,4389195
27,4316923
28,4344624
29,4369316
30,4238661
31,4312725
32,4299147
33,4269440
34,4345660
35,4059152
36,4009556
37,3944946
38,3852223
39,3969240
40,3834529
41,3917564
42,4097624
43,4333743
44,4375332
45,4132948
46,4061234
47,4072649
48,4157324
49,4420313
50,4477066
51,4478886
52,4473069
53,4530199
54,4572362
55,4404469
56,4397717
57,4324590
58,4189901
59,4151177
60,3964976
61,3828975
62,3681130
63,3551228
64,3488375
65,3376800
66,3370697
67,3432541
68,2552248
69,2533016
70,2472072
71,2507572
72,2181486
73,1991030
74,1881093
75,1769989
76,1685913
77,1550552
78,1478908
79,1409476
80,1260063
81,1216982
82,1153224
83,1095296
84,1034494
85,926148
86,857832
87,770519
88,676730
89,601033
90,512659
91,426494
92,356975
93,286085
94,218216
95,157418
96,120682
97,84347
98,60563
99,42074
100,73087
