date,Age 25-34
1970-01-01,3.4
1970-04-01,4.1
1970-07-01,4.4
1970-10-01,5.1
1971-01-01,5.3
1971-04-01,5.1
1971-07-01,5.3
1971-10-01,5.4
1972-01-01,4.7
1972-04-01,4.8
1972-07-01,4.6
1972-10-01,4.4
1973-01-01,4.3
1973-04-01,4.4
1973-07-01,4.2
1973-10-01,4.1
1974-01-01,4.4
1974-04-01,4.4
1974-07-01,4.7
1974-10-01,5.9
1975-01-01,7.5
1975-04-01,8.4
1975-07-01,7.8
1975-10-01,7.5
1976-01-01,7.0
1976-04-01,6.8
1976-07-01,7.3
1976-10-01,7.2
1977-01-01,6.9
1977-04-01,6.5
1977-07-01,6.3
1977-10-01,6.1
1978-01-01,5.5
1978-04-01,5.3
1978-07-01,5.3
1978-10-01,5.2
1979-01-01,5.4
1979-04-01,5.0
1979-07-01,5.1
1979-10-01,5.2
1980-01-01,5.9
1980-04-01,7.2
1980-07-01,7.6
1980-10-01,7.2
1981-01-01,7.0
1981-04-01,7.0
1981-07-01,7.1
1981-10-01,8.0
1982-01-01,8.5
1982-04-01,9.6
1982-07-01,10.2
1982-10-01,10.8
1983-01-01,10.6
1983-04-01,10.1
1983-07-01,9.4
1983-10-01,8.5
1984-01-01,7.9
1984-04-01,7.2
1984-07-01,7.0
1984-10-01,6.9
1985-01-01,7.0
1985-04-01,7.1
1985-07-01,7.0
1985-10-01,6.8
1986-01-01,6.8
1986-04-01,7.1
1986-07-01,6.9
1986-10-01,6.9
1987-01-01,6.6
1987-04-01,6.1
1987-07-01,5.8
1987-10-01,5.7
1988-01-01,5.5
1988-04-01,5.4
1988-07-01,5.5
1988-10-01,5.4
1989-01-01,5.0
1989-04-01,5.3
1989-07-01,5.1
1989-10-01,5.2
1990-01-01,5.2
1990-04-01,5.3
1990-07-01,5.7
1990-10-01,6.0
1991-01-01,6.6
1991-04-01,6.9
1991-07-01,6.9
1991-10-01,7.2
1992-01-01,7.5
1992-04-01,7.7
1992-07-01,7.7
1992-10-01,7.6
1993-01-01,7.1
1993-04-01,7.0
1993-07-01,6.9
1993-10-01,6.6
1994-01-01,6.6
1994-04-01,6.1
1994-07-01,5.7
1994-10-01,5.5
1995-01-01,5.4
1995-04-01,5.6
1995-07-01,5.3
1995-10-01,5.3
1996-01-01,5.4
1996-04-01,5.3
1996-07-01,5.0
1996-10-01,5.0
1997-01-01,5.0
1997-04-01,4.8
1997-07-01,4.7
1997-10-01,4.3
1998-01-01,4.4
1998-04-01,4.2
1998-07-01,4.4
1998-10-01,4.3
1999-01-01,4.1
1999-04-01,4.0
1999-07-01,4.0
1999-10-01,3.8
2000-01-01,3.6
2000-04-01,3.6
2000-07-01,3.8
2000-10-01,3.7
2001-01-01,4.1
2001-04-01,4.4
2001-07-01,4.6
2001-10-01,5.6
2002-01-01,5.8
2002-04-01,6.0
2002-07-01,5.8
2002-10-01,5.9
2003-01-01,5.9
2003-04-01,6.1
2003-07-01,6.2
2003-10-01,6.1
2004-01-01,5.8
2004-04-01,5.4
2004-07-01,5.4
2004-10-01,5.5
2005-01-01,5.2
2005-04-01,5.2
2005-07-01,5.1
2005-10-01,5.0
2006-01-01,4.9
2006-04-01,4.8
2006-07-01,4.6
2006-10-01,4.4
2007-01-01,4.7
2007-04-01,4.5
2007-07-01,4.7
2007-10-01,4.8
2008-01-01,5.1
2008-04-01,5.2
2008-07-01,6.0
2008-10-01,7.1
2009-01-01,8.9
2009-04-01,10.0
2009-07-01,10.3
2009-10-01,10.3
2010-01-01,10.1
2010-04-01,10.3
2010-07-01,9.8
2010-10-01,10.0
2011-01-01,9.3
2011-04-01,9.6
2011-07-01,9.5
2011-10-01,9.3
2012-01-01,8.7
2012-04-01,8.2
2012-07-01,8.1
2012-10-01,7.9
2013-01-01,7.6
2013-04-01,7.4
2013-07-01,7.5
2013-10-01,7.2
2014-01-01,6.9
