date,Less than a high school diploma,High school diploma,Bachelor's degree or higher
2000-01-01,9.4,4.9,1.7
2000-04-01,8.0,4.2,1.6
2000-07-01,7.7,4.8,1.9
2000-10-01,7.9,4.8,1.5
2001-01-01,10.9,5.6,1.9
2001-04-01,8.4,5.2,2.3
2001-07-01,8.8,5.5,2.9
2001-10-01,10.1,6.3,3.0
2002-01-01,11.7,8.8,3.3
2002-04-01,9.8,8.0,3.0
2002-07-01,9.7,6.7,3.3
2002-10-01,11.2,6.8,2.8
2003-01-01,11.9,8.3,3.2
2003-04-01,10.3,7.8,3.0
2003-07-01,9.9,7.5,3.5
2003-10-01,10.6,7.0,3.3
2004-01-01,12.6,8.1,2.8
2004-04-01,10.2,6.4,2.7
2004-07-01,10.5,5.7,3.1
2004-10-01,10.7,6.1,2.7
2005-01-01,10.9,7.5,2.6
2005-04-01,9.7,6.3,2.5
2005-07-01,11.1,6.1,2.8
2005-10-01,9.6,6.1,2.1
2006-01-01,11.0,6.8,2.4
2006-04-01,8.8,5.8,2.1
2006-07-01,8.1,5.9,2.1
2006-10-01,7.8,5.9,1.7
2007-01-01,10.5,7.0,2.1
2007-04-01,7.8,5.5,2.2
2007-07-01,8.7,6.1,2.6
2007-10-01,8.9,6.7,2.0
2008-01-01,12.5,7.9,2.3
2008-04-01,10.2,6.6,2.4
2008-07-01,11.4,7.5,2.9
2008-10-01,12.8,10.0,3.1
2009-01-01,19.3,13.5,4.1
2009-04-01,18.5,13.4,4.8
2009-07-01,18.6,12.8,5.3
2009-10-01,18.0,13.2,4.9
2010-01-01,21.1,15.8,4.8
2010-04-01,17.6,13.8,4.8
2010-07-01,15.5,12.1,5.1
2010-10-01,17.8,12.9,4.9
2011-01-01,18.6,14.6,4.4
2011-04-01,18.7,13.0,4.0
2011-07-01,15.2,12.9,4.5
2011-10-01,16.3,12.4,4.1
2012-01-01,18.3,13.0,4.3
2012-04-01,15.1,10.1,3.9
2012-07-01,14.3,11.2,4.4
2012-10-01,13.9,10.7,3.9
2013-01-01,15.7,12.3,3.7
2013-04-01,12.5,10.0,3.7
2013-07-01,12.9,10.5,4.1
2013-10-01,12.8,9.7,3.5
2014-01-01,14.5,10.1,3.4
2014-04-01,11.0,8.8,3.2
2014-07-01,12.6,8.2,3.5
