Year,All,White,Black,Asian,Hispanic
1993,6.64,4.38,13.24,10.09,8.77
1994,7.48,4.98,15.05,13.60,9.28
1995,7.53,4.90,15.72,13.03,9.64
1996,7.95,5.20,15.61,13.26,10.00
1997,7.77,5.11,14.84,14.74,9.65
1998,7.62,5.19,13.98,12.15,9.66
1999,7.74,5.18,15.18,13.58,8.85
2000,7.71,4.90,14.10,14.16,10.03
2001,7.94,5.01,14.53,12.79,10.48
2002,7.74,5.44,12.41,11.20,10.47
2003,7.55,5.29,12.87,9.66,9.46
2004,7.87,5.53,13.39,10.83,9.53
2005,8.27,5.75,14.42,12.21,9.54
2006,7.69,5.06,13.03,11.96,9.70
2007,8.35,5.47,14.02,12.87,10.36
2008,8.89,6.41,14.37,13.59,9.93
2009,9.38,6.78,13.90,13.25,11.58
2010,10.05,6.96,14.96,12.94,13.28
2011,10.10,7.14,14.14,14.37,12.74
2012,9.65,6.65,13.71,13.78,12.10
2013,9.61,6.85,13.68,14.51,12.26
