Year,Ride-on,Recreational,Exploratory,Media,Weapon,Pretend,Unclassified
1990,41418,10707,9660,3993,5214,1232,49025
1991,40533,10889,9084,3609,6027,1163,49596
1992,40540,11770,10705,3174,6535,1701,58759
1993,34354,11583,8511,4718,6869,1545,55777
1994,35580,10077,10046,3938,6585,1738,56879
1995,31267,11427,7964,4110,4160,1187,54696
1996,27133,9620,8571,3719,4462,2011,52151
1997,26971,10935,9102,3101,5265,1161,52438
1998,26296,11781,8448,3763,6115,2062,61708
1999,23995,11017,8781,3483,4440,1357,65262
2000,59134,13500,8893,3666,3915,1213,61896
2001,108765,14352,8785,4394,4449,643,63149
2002,73878,14475,9733,3879,3725,776,59727
2003,64838,14114,7371,4825,3163,1048,62174
2004,63613,14488,7046,4332,3849,1319,68580
2005,52233,12942,7980,4866,4413,775,72240
2006,58532,13357,9010,4431,4216,999,77601
2007,61658,15781,9444,4356,4732,977,77561
2008,65039,15073,8440,4379,4532,1544,76284
2009,72971,20343,10322,5683,5364,1212,71969
