industry,wage,wage_chg,size
"Mining, Drilling and Logging",30.64403304,1.269111174,928
Construction,26.42371517,0.892383231,6095
Manufacturing,24.55457672,0.222762107,12181
"Trade, Transportation and Utilities",21.12126451,0.00598725,26549
Wholesale Trade,27.66324909,-0.563446841,5894.7
Retail Trade,16.8124085,0.612857551,15436.5
Information,33.7231927,1.606485995,2698
Finance,30.40793134,0.323099116,7988
Professional and Business,28.8044073,0.714710845,19410
Education and Health Care,24.40701315,-0.541918687,21640
Leisure and Hospitality,13.83162454,1.927962745,14760
Other,21.68200604,0.333207046,5517
