year,month,date,"Elkhart County, Ind.",Indiana,U.S.
2004,Jan,Jan 2004,4.8,5.8,6.3
2004,Feb,Feb 2004,4.6,5.8,6.0
2004,Mar,Mar 2004,4.6,5.8,6.0
2004,Apr,Apr 2004,3.9,5.0,5.4
2004,May,May 2004,3.9,5.0,5.3
2004,Jun,Jun 2004,4.0,5.3,5.8
2004,Jul,Jul 2004,4.2,5.3,5.7
2004,Aug,Aug 2004,3.9,5.2,5.4
2004,Sep,Sep 2004,3.9,4.8,5.1
2004,Oct,Oct 2004,4.1,5.1,5.1
2004,Nov,Nov 2004,4.3,5.2,5.2
2004,Dec,Dec 2004,4.5,5.2,5.1
2005,Jan,Jan 2005,5.0,6.1,5.7
2005,Feb,Feb 2005,5.0,6.3,5.8
2005,Mar,Mar 2005,4.7,5.9,5.4
2005,Apr,Apr 2005,4.1,5.2,4.9
2005,May,May 2005,4.1,5.0,4.9
2005,Jun,Jun 2005,4.5,5.3,5.2
2005,Jul,Jul 2005,5.1,5.3,5.2
2005,Aug,Aug 2005,4.5,5.2,4.9
2005,Sep,Sep 2005,4.5,5.0,4.8
2005,Oct,Oct 2005,4.3,4.9,4.6
2005,Nov,Nov 2005,4.4,5.1,4.8
2005,Dec,Dec 2005,4.3,5.1,4.6
2006,Jan,Jan 2006,4.4,5.3,5.1
2006,Feb,Feb 2006,4.7,5.7,5.1
2006,Mar,Mar 2006,4.4,5.4,4.8
2006,Apr,Apr 2006,4.1,5.0,4.5
2006,May,May 2006,4.1,4.9,4.4
2006,Jun,Jun 2006,4.3,5.1,4.8
2006,Jul,Jul 2006,5.2,5.3,5.0
2006,Aug,Aug 2006,4.6,5.1,4.6
2006,Sep,Sep 2006,4.7,4.6,4.4
2006,Oct,Oct 2006,4.9,4.4,4.1
2006,Nov,Nov 2006,5.3,4.5,4.3
2006,Dec,Dec 2006,5.3,4.6,4.3
2007,Jan,Jan 2007,5.8,5.3,5.0
2007,Feb,Feb 2007,5.0,5.3,4.9
2007,Mar,Mar 2007,4.7,4.9,4.5
2007,Apr,Apr 2007,4.2,4.5,4.3
2007,May,May 2007,4.0,4.3,4.3
2007,Jun,Jun 2007,4.2,4.5,4.7
2007,Jul,Jul 2007,4.5,4.5,4.9
2007,Aug,Aug 2007,4.5,4.5,4.6
2007,Sep,Sep 2007,4.3,4.3,4.5
2007,Oct,Oct 2007,4.5,4.2,4.4
2007,Nov,Nov 2007,4.8,4.4,4.5
2007,Dec,Dec 2007,4.9,4.6,4.8
2008,Jan,Jan 2008,5.2,5.2,5.4
2008,Feb,Feb 2008,5.5,5.3,5.2
2008,Mar,Mar 2008,5.8,5.5,5.2
2008,Apr,Apr 2008,5.1,4.7,4.8
2008,May,May 2008,5.9,5.0,5.2
2008,Jun,Jun 2008,6.7,5.6,5.7
2008,Jul,Jul 2008,9.4,5.9,6.0
2008,Aug,Aug 2008,8.8,6.0,6.1
2008,Sep,Sep 2008,9.5,5.7,6.0
2008,Oct,Oct 2008,11.5,6.1,6.1
2008,Nov,Nov 2008,13.2,6.9,6.5
2008,Dec,Dec 2008,16.4,8.1,7.1
2009,Jan,Jan 2009,19.1,9.7,8.5
2009,Feb,Feb 2009,19.4,10.4,8.9
2009,Mar,Mar 2009,20.2,10.9,9.0
