year,month,date,"Elkhart County, Ind.",Indiana,U.S.
2004,Mar,Mar 2004,783.27,828.39,949.95
2004,Jun,Jun 2004,830.89,809.59,906.09
2004,Sep,Sep 2004,824.63,820.87,917.37
2004,Dec,Dec 2004,896.06,884.78,1018.88
2005,Mar,Mar 2005,770.94,808.51,971.26
2005,Jun,Jun 2005,824.27,804.88,910.34
2005,Sep,Sep 2005,833.97,835.18,941.85
2005,Dec,Dec 2005,884.88,854.58,1001.25
2006,Mar,Mar 2006,825.52,843.14,988.75
2006,Jun,Jun 2006,819.65,803.21,920.64
2006,Sep,Sep 2006,783.25,806.73,920.64
2006,Dec,Dec 2006,811.43,849.01,1012.23
2007,Mar,Mar 2007,802.66,843.76,1009.32
2007,Jun,Jun 2007,815.22,801.52,936.25
2007,Sep,Sep 2007,778.68,801.52,933.96
2007,Dec,Dec 2007,815.22,849.47,1025.31
2008,Mar,Mar 2008,771.88,832.36,995.09
2008,Jun,Jun 2008,772.98,786.18,924.72
2008,Sep,Sep 2008,732.3,789.48,924.72
2008,Dec,Dec 2008,753.19,840.05,1010.48
2009,Mar,Mar 2009,707.33,815.47,973.26
2009,Jun,Jun 2009,756.98,783.47,926.92
2009,Sep,Sep 2009,752.57,787.88,928.02
2009,Dec,Dec 2009,822.09,861.81,1040.58
2010,Mar,Mar 2010,724.14,802.31,965.16
2010,Jun,Jun 2010,802.31,795.79,939.10
2010,Sep,Sep 2010,778.42,805.56,944.53
2010,Dec,Dec 2010,802.31,872.88,1055.27
2011,Mar,Mar 2011,734.61,813.54,982.98
2011,Jun,Jun 2011,767.23,788.28,937.73
2011,Sep,Sep 2011,776.7,826.17,964.04
2011,Dec,Dec 2011,754.6,830.38,1005.09
2012,Mar,Mar 2012,773.33,847.57,1013.58
2012,Jun,Jun 2012,771.27,786.73,930.06
2012,Sep,Sep 2012,760.96,796.01,933.15
2012,Dec,Dec 2012,806.33,841.38,1031.11
2013,Mar,Mar 2013,768.26,844.48,1005.04
2013,Jun,Jun 2013,779.44,787.57,935.94
2013,Sep,Sep 2013,770.3,796.72,936.96
2013,Dec,Dec 2013,799.77,827.2,1016.22
2014,Mar,Mar 2014,809,845,1026.00
2014,Jun,Jun 2014,797,784,940.00
