year,month,date,"Elkhart County, Ind.",Indiana,U.S.
2004,Mar,Mar 2004,625,661,758
2004,Jun,Jun 2004,663,646,723
2004,Sep,Sep 2004,658,655,732
2004,Dec,Dec 2004,715,706,813
2005,Mar,Mar 2005,636,667,775
2005,Jun,Jun 2005,680,664,751
2005,Sep,Sep 2005,688,689,777
2005,Dec,Dec 2005,730,705,826
2006,Mar,Mar 2006,703,718,842
2006,Jun,Jun 2006,698,684,784
2006,Sep,Sep 2006,667,687,784
2006,Dec,Dec 2006,691,723,862
2007,Mar,Mar 2007,703,739,884
2007,Jun,Jun 2007,714,702,820
2007,Sep,Sep 2007,682,702,818
2007,Dec,Dec 2007,714,744,898
2008,Mar,Mar 2008,702,757,905
2008,Jun,Jun 2008,703,715,841
2008,Sep,Sep 2008,666,718,841
2008,Dec,Dec 2008,685,764,919
2009,Mar,Mar 2009,641,739,882
2009,Jun,Jun 2009,686,710,840
2009,Sep,Sep 2009,682,714,841
2009,Dec,Dec 2009,745,781,943
2010,Mar,Mar 2010,667,739,889
2010,Jun,Jun 2010,739,733,865
2010,Sep,Sep 2010,717,742,870
2010,Dec,Dec 2010,739,804,972
2011,Mar,Mar 2011,698,773,934
2011,Jun,Jun 2011,729,749,891
2011,Sep,Sep 2011,738,785,916
2011,Dec,Dec 2011,717,789,955
2012,Mar,Mar 2012,750,822,983
2012,Jun,Jun 2012,748,763,902
2012,Sep,Sep 2012,738,772,905
2012,Dec,Dec 2012,782,816,1000
2013,Mar,Mar 2013,756,831,989
2013,Jun,Jun 2013,767,775,921
2013,Sep,Sep 2013,758,784,922
2013,Dec,Dec 2013,787,814,1000
2014,Mar,Mar 2014,809,845,1026
2014,Jun,Jun 2014,797,784,940
