date,value
1/19/05,1184.63
1/20/05,1175.41
1/21/05,1167.87
1/24/05,1163.75
1/25/05,1168.41
1/26/05,1174.07
1/27/05,1174.55
1/28/05,1171.36
1/31/05,1181.27
2/1/05,1189.41
2/2/05,1193.19
2/3/05,1189.89
2/4/05,1203.03
2/7/05,1201.72
2/8/05,1202.3
2/9/05,1191.99
2/10/05,1197.01
2/11/05,1205.3
2/14/05,1206.14
2/15/05,1210.12
2/16/05,1210.34
2/17/05,1200.75
2/18/05,1201.59
2/21/05,.
2/22/05,1184.16
2/23/05,1190.8
2/24/05,1200.2
2/25/05,1211.37
2/28/05,1203.6
3/1/05,1210.41
3/2/05,1210.08
3/3/05,1210.47
3/4/05,1222.12
3/7/05,1225.31
3/8/05,1219.43
3/9/05,1207.01
3/10/05,1209.25
3/11/05,1200.08
3/14/05,1206.83
3/15/05,1197.75
3/16/05,1188.07
3/17/05,1190.21
3/18/05,1189.65
3/21/05,1183.78
3/22/05,1171.71
3/23/05,1172.53
3/24/05,1171.42
3/25/05,.
3/28/05,1174.28
3/29/05,1165.36
3/30/05,1181.41
3/31/05,1180.59
4/1/05,1172.92
4/4/05,1176.12
4/5/05,1181.39
4/6/05,1184.07
4/7/05,1191.14
4/8/05,1181.2
4/11/05,1181.21
4/12/05,1187.76
4/13/05,1173.79
4/14/05,1162.05
4/15/05,1142.62
4/18/05,1145.98
4/19/05,1152.78
4/20/05,1137.5
4/21/05,1159.95
4/22/05,1152.12
4/25/05,1162.1
4/26/05,1151.74
4/27/05,1156.38
4/28/05,1143.22
4/29/05,1156.85
5/2/05,1162.16
5/3/05,1161.17
5/4/05,1175.65
5/5/05,1172.63
5/6/05,1171.35
5/9/05,1178.84
5/10/05,1166.22
5/11/05,1171.11
5/12/05,1159.36
5/13/05,1154.05
5/16/05,1165.69
5/17/05,1173.8
5/18/05,1185.56
5/19/05,1191.08
5/20/05,1189.28
5/23/05,1193.86
5/24/05,1194.07
5/25/05,1190.01
5/26/05,1197.62
5/27/05,1198.78
5/30/05,.
5/31/05,1191.5
6/1/05,1202.27
6/2/05,1204.29
6/3/05,1196.02
6/6/05,1197.51
6/7/05,1197.26
6/8/05,1194.67
6/9/05,1200.93
6/10/05,1198.11
6/13/05,1200.82
6/14/05,1203.91
6/15/05,1206.58
6/16/05,1210.96
6/17/05,1216.96
6/20/05,1216.1
6/21/05,1213.61
6/22/05,1213.88
6/23/05,1200.73
6/24/05,1191.57
6/27/05,1190.69
6/28/05,1201.57
6/29/05,1199.85
6/30/05,1191.33
7/1/05,1194.44
7/4/05,.
7/5/05,1204.99
7/6/05,1194.94
7/7/05,1197.87
7/8/05,1211.86
7/11/05,1219.44
7/12/05,1222.21
7/13/05,1223.29
7/14/05,1226.5
7/15/05,1227.92
7/18/05,1221.13
7/19/05,1229.35
7/20/05,1235.2
7/21/05,1227.04
7/22/05,1233.68
7/25/05,1229.03
7/26/05,1231.16
7/27/05,1236.79
7/28/05,1243.72
7/29/05,1234.18
8/1/05,1235.35
8/2/05,1244.12
8/3/05,1245.04
8/4/05,1235.86
8/5/05,1226.42
8/8/05,1223.13
8/9/05,1231.38
8/10/05,1229.13
8/11/05,1237.81
8/12/05,1230.39
8/15/05,1233.87
8/16/05,1219.34
8/17/05,1220.24
8/18/05,1219.02
8/19/05,1219.71
8/22/05,1221.73
8/23/05,1217.57
8/24/05,1209.59
8/25/05,1212.39
8/26/05,1205.1
8/29/05,1212.28
8/30/05,1208.41
8/31/05,1220.33
9/1/05,1221.59
9/2/05,1218.02
9/5/05,.
9/6/05,1233.39
9/7/05,1236.36
9/8/05,1231.67
9/9/05,1241.48
9/12/05,1240.56
9/13/05,1231.2
9/14/05,1227.16
9/15/05,1227.73
9/16/05,1237.91
9/19/05,1231.02
9/20/05,1221.34
9/21/05,1210.2
9/22/05,1214.62
9/23/05,1215.29
9/26/05,1215.63
9/27/05,1215.66
9/28/05,1216.89
9/29/05,1227.68
9/30/05,1228.81
10/3/05,1226.7
10/4/05,1214.47
10/5/05,1196.39
10/6/05,1191.49
10/7/05,1195.9
10/10/05,1187.33
10/11/05,1184.87
10/12/05,1177.68
10/13/05,1176.84
10/14/05,1186.57
10/17/05,1190.1
10/18/05,1178.14
10/19/05,1195.76
10/20/05,1177.8
10/21/05,1179.59
10/24/05,1199.38
