date,value
8/1/09,1009.72
9/1/09,1044.55
10/1/09,1067.66
11/1/09,1088.07
12/1/09,1110.38
1/1/10,1123.58
2/1/10,1089.16
3/1/10,1152.05
4/1/10,1197.32
5/1/10,1125.06
6/1/10,1083.36
7/1/10,1079.8
8/1/10,1087.28
9/1/10,1122.08
10/1/10,1171.58
11/1/10,1198.89
12/1/10,1241.53
1/1/11,1282.62
2/1/11,1321.12
3/1/11,1304.49
4/1/11,1331.51
5/1/11,1338.31
6/1/11,1287.29
7/1/11,1325.18
8/1/11,1185.31
9/1/11,1173.88
10/1/11,1207.22
11/1/11,1226.41
12/1/11,1243.32
1/1/12,1300.58
2/1/12,1352.49
3/1/12,1389.24
4/1/12,1386.43
5/1/12,1341.27
6/1/12,1323.48
7/1/12,1359.78
8/1/12,1403.44
9/1/12,1443.42
10/1/12,1437.82
11/1/12,1394.51
12/1/12,1422.29
1/1/13,1480.4
2/1/13,1512.31
3/1/13,1550.83
4/1/13,1570.7
5/1/13,1639.84
6/1/13,1618.77
7/1/13,1668.68
8/1/13,1670.09
9/1/13,1687.17
10/1/13,1720.03
11/1/13,1783.54
12/1/13,1807.78
1/1/14,1822.36
2/1/14,1817.03
3/1/14,1863.52
4/1/14,1864.26
5/1/14,1889.77
6/1/14,1947.09
7/1/14,1973.1
8/1/14,1961.53
9/1/14,1993.23
10/1/14,1937.27
11/1/14,2044.57
12/1/14,2054.27
1/1/15,.
