STATE,COUNTYFIPS,SUMLEV,GeoName,VetPop,TotExpend,CompAndPension,Construction,EduVocRehabEmp,GenOpExp,InsIndemnities,MedCare,UniquePatients,AdjExpPerVeteran,PRatio,MedPerVet,PctVet
ID,,STATE,IDAHO,138108,746018.0000 ,334504.0000 ,11690.0000 ,51513.0000 ,7807.0000 ,8006.0000 ,332499.0000 ,39928.0000 ,5.2605 ,0.2891 ,8.3275 ,0.1010 
MT,,STATE,MONTANA,101597,646509.0000 ,290869.0000 ,8.0000 ,38237.0000 ,7765.0000 ,7072.0000 ,302558.0000 ,35189.0000 ,6.2870 ,0.3464 ,8.5981 ,0.1050 
MO,,STATE,MISSOURI,497874,3025845.0000 ,1386280.0000 ,34423.0000 ,189473.0000 ,146126.0000 ,32796.0000 ,1236747.0000 ,137008.0000 ,5.7149 ,0.2752 ,9.0268 ,0.0944 
MS,,STATE,MISSISSIPPI,225469,1470950.0000 ,666715.0000 ,12230.0000 ,88010.0000 ,29313.0000 ,13394.0000 ,661288.0000 ,69676.0000 ,6.3397 ,0.3090 ,9.4909 ,0.0817 
MN,,STATE,MINNESOTA,360754,2336965.0000 ,986609.0000 ,15600.0000 ,133629.0000 ,82027.0000 ,33370.0000 ,1085731.0000 ,113577.0000 ,6.2074 ,0.3148 ,9.5594 ,0.0815 
MA,,STATE,MASSACHUSETTS,374809,2371613.0000 ,985894.0000 ,20552.0000 ,192975.0000 ,32546.0000 ,41235.0000 ,1098412.0000 ,84345.0000 ,6.1859 ,0.2250 ,13.0228 ,0.0643 
ME,,STATE,MAINE,127694,873125.0000 ,467398.0000 ,7.0000 ,42577.0000 ,18277.0000 ,9459.0000 ,335408.0000 ,39358.0000 ,6.6945 ,0.3082 ,8.5220 ,0.1121 
LA,,STATE,LOUISIANA,315342,2202388.0000 ,1016206.0000 ,202777.0000 ,120767.0000 ,26501.0000 ,19941.0000 ,816195.0000 ,86890.0000 ,6.2570 ,0.2755 ,9.3934 ,0.0768 
KY,,STATE,KENTUCKY,339334,2229580.0000 ,1087772.0000 ,7129.0000 ,139199.0000 ,37983.0000 ,18871.0000 ,938626.0000 ,101096.0000 ,6.4375 ,0.2979 ,9.2845 ,0.0870 
KS,,STATE,KANSAS,223708,1237985.0000 ,529023.0000 ,743.0000 ,103950.0000 ,27158.0000 ,17340.0000 ,559771.0000 ,58097.0000 ,5.4092 ,0.2597 ,9.6351 ,0.0914 
IA,,STATE,IOWA,233815,1192889.0000 ,505601.0000 ,79.0000 ,74079.0000 ,10585.0000 ,18891.0000 ,583653.0000 ,72191.0000 ,5.0562 ,0.3088 ,8.0848 ,0.0882 
NE,,STATE,NEBRASKA,138773,1023761.0000 ,487975.0000 ,9837.0000 ,63597.0000 ,36470.0000 ,12589.0000 ,413294.0000 ,47275.0000 ,7.0436 ,0.3407 ,8.7423 ,0.0893 
IL,,STATE,ILLINOIS,744710,3854717.0000 ,1450236.0000 ,18558.0000 ,311330.0000 ,51835.0000 ,65139.0000 ,1957618.0000 ,180384.0000 ,5.0816 ,0.2422 ,10.8525 ,0.0666 
MI,,STATE,MICHIGAN,660773,3361961.0000 ,1675388.0000 ,6185.0000 ,208565.0000 ,51291.0000 ,43961.0000 ,1376571.0000 ,146804.0000 ,5.0009 ,0.2222 ,9.3769 ,0.0809 
