date,Top 1% Of Earners,Bottom 90% Of Earners
1917,299510.85,11291.16
1918,255830.08,10755.19
1919,250311.52,10607.71
1920,203412.5,9675.73
1921,192046.68,7880.14
1922,228322.96,8883.64
1923,233686.49,10290.19
1924,251290.62,9709.17
1925,273786.13,9648.94
1926,283202.71,9771.42
1927,295857.95,9738.32
1928,316935.2,9685.99
1929,310520.02,10535.73
1930,250955.81,9665.44
1931,211721.16,8564.49
1932,180509.94,6958.26
1933,179189.19,6940.11
1934,198118.29,7608.36
1935,211282.85,8503.15
1936,261775.05,9107.71
1937,256009.98,9796.1
1938,210761.49,9062.17
1939,234725.93,9391.78
1940,251303.65,9862.43
1941,280170.31,12233.96
1942,280005.44,15550.7
1943,288015.02,18761.34
1944,261146.72,18846.77
1945,268535.41,18152.53
1946,287133.24,17734.25
1947,258231.02,17545.39
1948,270437.49,17671.92
1949,259389.28,17440.2
1950,290619.77,18797.2
1951,277235.99,19674.35
1952,265413.33,20527.75
1953,257997.03,21661.18
1954,263549.28,21167.95
1955,275365.24,22738.46
1956,286720.99,23908.02
1957,284699.9,24059.06
1958,271421.29,23176.95
1959,284948.43,24599.06
1960,275281.29,25014.76
1961,277867.82,25218.89
1962,285803.3,26082.86
1963,289088.33,26750.75
1964,297706.4,28192.72
1965,311621.71,29400.36
1966,337643.59,30493.8
1967,348204.46,31204.76
1968,356483.71,32257.42
1969,347207.15,32806.72
1970,339810.17,33135.16
1971,338113.3,32929.01
1972,350689.08,34360.11
1973,357415.17,34955.89
1974,363800.27,33657.14
1975,339622.26,31759.12
1976,342718.55,32620.87
1977,346555.09,32935.81
1978,355425.19,33549.3
1979,358634.26,33562.89
1980,355295.93,32412.65
1981,345738.61,32203.67
1982,354171.47,31323.6
1983,359153.77,30794.13
1984,383919.14,31707.66
1985,399871.69,32120.37
1986,406772.75,32393.53
1987,492286.31,32330.22
1988,633010.85,32787.75
1989,604493.61,32769.09
1990,617859.24,32345
1991,562533.81,31653.65
1992,628427.22,31174.4
1993,588918.94,30886.53
1994,600737.89,31370.93
1995,650576.51,31767.5
1996,694205.03,32165.54
1997,755445.72,33115.04
1998,820069.19,34492.85
1999,884646.81,35508.51
2000,933907.62,35799.48
2001,850040.41,35499.77
2002,797357.37,34066.83
2003,798225.19,33367.52
2004,880360.11,33743.75
2005,973587.68,33687.58
2006,1012750.49,33960.86
2007,1056904.81,34815.58
2008,977920.96,32816.6
2009,857904.31,31165.76
2010,902867.78,30840.04
2011,897151.23,30458.05
2012,1021760.82,30438.59
