year,d1,d90
1917.00,299510.85,11291.16
1918.00,255830.08,10755.19
1919.00,250311.52,10607.71
1920.00,203412.50,9675.73
1921.00,192046.68,7880.14
1922.00,228322.96,8883.64
1923.00,233686.49,10290.19
1924.00,251290.62,9709.17
1925.00,273786.13,9648.94
1926.00,283202.71,9771.42
1927.00,295857.95,9738.32
1928.00,316935.20,9685.99
1929.00,310520.02,10535.73
1930.00,250955.81,9665.44
1931.00,211721.16,8564.49
1932.00,180509.94,6958.26
1933.00,179189.19,6940.11
1934.00,198118.29,7608.36
1935.00,211282.85,8503.15
1936.00,261775.05,9107.71
1937.00,256009.98,9796.10
1938.00,210761.49,9062.17
1939.00,234725.93,9391.78
1940.00,251303.65,9862.43
1941.00,280170.31,12233.96
1942.00,280005.44,15550.70
1943.00,288015.02,18761.34
1944.00,261146.72,18846.77
1945.00,268535.41,18152.53
1946.00,287133.24,17734.25
1947.00,258231.02,17545.39
1948.00,270437.49,17671.92
1949.00,259389.28,17440.20
1950.00,290619.77,18797.20
1951.00,277235.99,19674.35
1952.00,265413.33,20527.75
1953.00,257997.03,21661.18
1954.00,263549.28,21167.95
1955.00,275365.24,22738.46
1956.00,286720.99,23908.02
1957.00,284699.90,24059.06
1958.00,271421.29,23176.95
1959.00,284948.43,24599.06
1960.00,275281.29,25014.76
1961.00,277867.82,25218.89
1962.00,285803.30,26082.86
1963.00,289088.33,26750.75
1964.00,297706.40,28192.72
1965.00,311621.71,29400.36
1966.00,337643.59,30493.80
1967.00,348204.46,31204.76
1968.00,356483.71,32257.42
1969.00,347207.15,32806.72
1970.00,339810.17,33135.16
1971.00,338113.30,32929.01
1972.00,350689.08,34360.11
1973.00,357415.17,34955.89
1974.00,363800.27,33657.14
1975.00,339622.26,31759.12
1976.00,342718.55,32620.87
1977.00,346555.09,32935.81
1978.00,355425.19,33549.30
1979.00,358634.26,33562.89
1980.00,355295.93,32412.65
1981.00,345738.61,32203.67
1982.00,354171.47,31323.60
1983.00,359153.77,30794.13
1984.00,383919.14,31707.66
1985.00,399871.69,32120.37
1986.00,406772.75,32393.53
1987.00,492286.31,32330.22
1988.00,633010.85,32787.75
1989.00,604493.61,32769.09
1990.00,617859.24,32345.00
1991.00,562533.81,31653.65
1992.00,628427.22,31174.40
1993.00,588918.94,30886.53
1994.00,600737.89,31370.93
1995.00,650576.51,31767.50
1996.00,694205.03,32165.54
1997.00,755445.72,33115.04
1998.00,820069.19,34492.85
1999.00,884646.81,35508.51
2000.00,933907.62,35799.48
2001.00,850040.41,35499.77
2002.00,797357.37,34066.83
2003.00,798225.19,33367.52
2004.00,880360.11,33743.75
2005.00,973587.68,33687.58
2006.00,1012750.49,33960.86
2007.00,1056904.81,34815.58
2008.00,977920.96,32816.60
2009.00,857904.31,31165.76
2010.00,902867.78,30840.04
2011.00,897151.23,30458.05
2012.00,1021760.82,30438.59
