year,juvenile delinquent,at-risk youth,dropout,superpredator
1940,8.26810108711662e-08,0.0,1.1513245856686893e-08,0.0
1941,8.609294397388111e-08,0.0,9.456843752531086e-09,0.0
1942,9.250249625540144e-08,0.0,2.0474544800327028e-08,0.0
1943,9.547684947414886e-08,0.0,2.5741903053599913e-08,0.0
1944,1.0208378171354987e-07,0.0,2.3811576099763698e-08,0.0
1945,1.0594184494751501e-07,0.0,2.6916103124108304e-08,0.0
1946,1.0701259335808646e-07,0.0,3.263734260627871e-08,0.0
1947,1.202477396703269e-07,0.0,4.144429842169371e-08,0.0
1948,1.2758231899517064e-07,0.0,4.590143498628407e-08,0.0
1949,1.300418030401675e-07,0.0,4.0656169129706295e-08,0.0
1950,1.3783672958567195e-07,0.0,3.758367274540677e-08,0.0
1951,1.4424930167804867e-07,0.0,4.767449141018787e-08,0.0
1952,1.6143321673085206e-07,0.0,6.657630010778856e-08,0.0
1953,1.7405184871144286e-07,0.0,7.909413779483287e-08,0.0
1954,1.7618864898784536e-07,0.0,7.901315281420652e-08,0.0
1955,1.8162861194413538e-07,0.0,8.87663389855956e-08,0.0
1956,1.924658877669064e-07,0.0,9.567392740748661e-08,6.92057998209959e-11
1957,1.935656265788272e-07,0.0,1.5838435911210068e-07,6.92057998209959e-11
1958,1.9716432468024667e-07,0.0,1.821117434234029e-07,6.92057998209959e-11
1959,1.8973109502939955e-07,0.0,1.9406240938816106e-07,6.92057998209959e-11
1960,1.8514653705804992e-07,0.0,2.3411058533825573e-07,6.92057998209959e-11
1961,1.9228130004481487e-07,0.0,3.041166892203684e-07,6.92057998209959e-11
1962,1.8802405943715452e-07,0.0,4.8519138590957e-07,6.92057998209959e-11
1963,1.8336946780439511e-07,0.0,6.704852975840987e-07,4.120670074999769e-11
1964,1.8964351555794678e-07,0.0,7.312925816175105e-07,4.120670074999769e-11
1965,1.867221282354186e-07,0.0,9.072117784780787e-07,4.120670074999769e-11
1966,1.8978813891885287e-07,0.0,1.0801590143597447e-06,1.1368213116900807e-10
1967,1.986729039695133e-07,1.8348671788308886e-10,1.246532473876881e-06,1.1368213116900807e-10
1968,1.9367811540263853e-07,1.8348671788308886e-10,1.4085240610687118e-06,7.824598627756022e-10
1969,1.9501553365814625e-07,1.8348671788308886e-10,1.4307281952190872e-06,9.535801870352856e-10
1970,1.9669244082682577e-07,2.2045787021315483e-10,1.4451841113023126e-06,1.0531642462880647e-09
1971,1.9726502975547788e-07,2.9467721516875297e-10,1.5324485231259035e-06,1.1591023855014475e-09
1972,1.9590397293267614e-07,2.9467721516875297e-10,1.524916659738957e-06,1.1591023855014475e-09
1973,1.911021840931123e-07,2.9467721516875297e-10,1.482641420937268e-06,1.1539754469452085e-09
1974,1.7772183813094928e-07,1.1119049728566414e-10,1.416562389674628e-06,1.3195271621389638e-09
1975,1.7737217310385765e-07,1.4560916361539e-10,1.336366232150356e-06,8.143572879529667e-10
1976,1.7286710944839993e-07,2.451826876446818e-10,1.2724632816636065e-06,8.640688561481877e-10
1977,1.6440888470081736e-07,2.7340936261031704e-10,1.2049533198523122e-06,7.85233528992941e-10
1978,1.5094080201997047e-07,2.3169103540483198e-10,1.1273578233479092e-06,8.645272037937396e-10
1979,1.5076301959626726e-07,3.2490100689207067e-10,1.0859884795877406e-06,9.53083604101782e-10
1980,1.4655864874479898e-07,8.382966463850649e-10,1.0551235542420403e-06,1.0004298738636968e-09
1981,1.4325920818672853e-07,1.2633343081975517e-09,1.0471876790469584e-06,9.694149372130312e-10
1982,1.3742400226509795e-07,1.5037506973752152e-09,1.0450775684844873e-06,8.840811178372527e-10
1983,1.3303333124785916e-07,1.897617902099239e-09,1.029218024584111e-06,6.879055004198926e-10
1984,1.2792432611224186e-07,3.885474071453819e-09,1.0430785982253253e-06,8.184618201432871e-10
1985,1.2777852301248946e-07,6.088506926801455e-09,1.1084949778401258e-06,7.02445004940877e-10
1986,1.2247434283804305e-07,1.3852908025056645e-08,1.1650975898344233e-06,7.665757730971176e-10
1987,1.1868069404611223e-07,1.9337458255695517e-08,1.2469159933153103e-06,6.92264580976725e-10
1988,1.1896059974790341e-07,2.4783246157670088e-08,1.3079257274688821e-06,6.405949917346173e-10
1989,1.1494695264275506e-07,3.609449906421298e-08,1.3586412268245292e-06,7.503698634669931e-10
1990,1.2043192844963485e-07,4.401509467614037e-08,1.4436582918315414e-06,1.0307956115657949e-09
1991,1.208786480791765e-07,5.000337851319385e-08,1.537025144493498e-06,8.738764473952593e-10
1992,1.168910792326283e-07,6.450984496586543e-08,1.5517067472206999e-06,8.737057585353877e-10
1993,1.161765891782058e-07,6.84177440971442e-08,1.5571363303530056e-06,9.660551842609927e-10
1994,1.1602362271331426e-07,7.507099130427923e-08,1.5417858364611244e-06,1.2597581985510482e-09
1995,1.1392304116334248e-07,8.012096026315569e-08,1.5268289372499005e-06,1.7843602389306617e-09
1996,1.1271220229766169e-07,8.034608193049511e-08,1.495159786646383e-06,2.4822775660357116e-09
1997,1.073065828456026e-07,8.81053752494714e-08,1.4676397608326397e-06,2.751637425849448e-09
1998,1.0893166437129866e-07,9.586881902620294e-08,1.4224983540296016e-06,3.54680166585781e-09
1999,1.117548727843801e-07,9.023770751261293e-08,1.3992571737477176e-06,4.90405554657133e-09
2000,1.1064966506538606e-07,9.28476423047085e-08,1.3614898670688547e-06,6.251906361657131e-09
2001,1.0767610652313258e-07,9.455338023656167e-08,1.3548618649851716e-06,6.869841873940225e-09
2002,1.0814667597954955e-07,9.847575120426808e-08,1.363041062241166e-06,7.68845004328611e-09
2003,1.0715683050412294e-07,1.006887077524356e-07,1.384499798743174e-06,8.491334595779014e-09
2004,1.0490515314368463e-07,9.692441582664912e-08,1.3805094134511364e-06,8.842469090275529e-09
2005,9.724661987481342e-08,9.221112644881252e-08,1.3254489972881956e-06,8.847608598142439e-09
2006,9.344366325968652e-08,9.461694390940541e-08,1.3186667285521498e-06,8.658195475389855e-09
2007,9.038070948180766e-08,9.341470970092303e-08,1.321382435204299e-06,8.159792197481864e-09
2008,8.969211755076312e-08,9.164375786019363e-08,1.3106151323105664e-06,8.533701578716801e-09
