year,state,value
2002,Alaska,0
2003,Alaska,0
2004,Alaska,0
2005,Alaska,0
2006,Alaska,0
2007,Alaska,1
2008,Alaska,4
2009,Alaska,7
2010,Alaska,11
2011,Alaska,15
2012,Alaska,19
2013,Alaska,33
2014,Alaska,0
2002,Alabama,0
2003,Alabama,0
2004,Alabama,0
2005,Alabama,0
2006,Alabama,1
2007,Alabama,3
2008,Alabama,6
2009,Alabama,12
2010,Alabama,16
2011,Alabama,22
2012,Alabama,28
2013,Alabama,34
2014,Alabama,0
2002,Arkansas,0
2003,Arkansas,0
2004,Arkansas,0
2005,Arkansas,0
2006,Arkansas,0
2007,Arkansas,1
2008,Arkansas,3
2009,Arkansas,19
2010,Arkansas,30
2011,Arkansas,37
2012,Arkansas,45
2013,Arkansas,50
2014,Arkansas,0
2002,Arizona,0
2003,Arizona,0
2004,Arizona,0
2005,Arizona,0
2006,Arizona,0
2007,Arizona,2
2008,Arizona,6
2009,Arizona,10
2010,Arizona,16
2011,Arizona,25
2012,Arizona,31
2013,Arizona,36
2014,Arizona,0
2002,California,0
2003,California,0
2004,California,1
2005,California,3
2006,California,7
2007,California,11
2008,California,16
2009,California,23
2010,California,33
2011,California,41
2012,California,49
2013,California,54
2014,California,100
2002,Colorado,0
2003,Colorado,0
2004,Colorado,0
2005,Colorado,0
2006,Colorado,0
2007,Colorado,1
2008,Colorado,6
2009,Colorado,11
2010,Colorado,19
2011,Colorado,26
2012,Colorado,34
2013,Colorado,40
2014,Colorado,100
2002,Connecticut,0
2003,Connecticut,0
2004,Connecticut,0
2005,Connecticut,0
2007,Connecticut,0
2007,Connecticut,5
2008,Connecticut,10
2009,Connecticut,14
2010,Connecticut,19
2011,Connecticut,24
2012,Connecticut,29
2013,Connecticut,37
2014,Connecticut,100
2002,District of Columbia,0
2003,District of Columbia,12
2004,District of Columbia,21
2005,District of Columbia,29
2006,District of Columbia,39
2007,District of Columbia,46
2008,District of Columbia,51
2009,District of Columbia,54
2010,District of Columbia,55
2011,District of Columbia,56
2012,District of Columbia,57
2013,District of Columbia,57
2014,District of Columbia,100
2002,Delaware,0
2003,Delaware,0
2004,Delaware,0
2005,Delaware,0
2006,Delaware,0
2007,Delaware,0
2008,Delaware,4
2009,Delaware,8
2010,Delaware,15
2011,Delaware,32
2012,Delaware,42
2013,Delaware,55
2014,Delaware,50
2002,Florida,0
2003,Florida,0
2004,Florida,0
2005,Florida,0
2006,Florida,0
2007,Florida,2
2008,Florida,8
2009,Florida,14
2010,Florida,21
2011,Florida,31
2012,Florida,39
2013,Florida,49
2014,Florida,0
2002,Georgia,0
2003,Georgia,0
2004,Georgia,0
2005,Georgia,0
2006,Georgia,0
2007,Georgia,4
2008,Georgia,8
2009,Georgia,15
2010,Georgia,21
2011,Georgia,28
2012,Georgia,37
2013,Georgia,46
2014,Georgia,0
2002,Hawaii,0
2003,Hawaii,0
2004,Hawaii,0
2005,Hawaii,0
2006,Hawaii,0
2007,Hawaii,7
2008,Hawaii,15
2009,Hawaii,22
2010,Hawaii,28
2011,Hawaii,35
2012,Hawaii,45
2013,Hawaii,68
2014,Hawaii,100
2002,Iowa,0
2003,Iowa,0
2004,Iowa,0
2005,Iowa,0
2006,Iowa,0
2007,Iowa,0
2008,Iowa,2
2009,Iowa,9
2010,Iowa,19
2011,Iowa,23
2012,Iowa,28
2013,Iowa,33
2014,Iowa,100
2002,Idaho,0
2003,Idaho,0
2004,Idaho,0
2005,Idaho,0
2006,Idaho,0
2007,Idaho,1
2008,Idaho,4
2009,Idaho,9
2010,Idaho,13
2011,Idaho,18
2012,Idaho,23
2013,Idaho,30
2014,Idaho,0
2002,Illinois,0
2003,Illinois,0
2004,Illinois,1
2005,Illinois,5
2006,Illinois,9
2007,Illinois,12
2008,Illinois,18
2009,Illinois,24
2010,Illinois,31
2011,Illinois,37
2012,Illinois,41
2013,Illinois,46
2014,Illinois,100
2002,Indiana,0
2003,Indiana,0
2004,Indiana,0
2005,Indiana,0
2006,Indiana,4
2007,Indiana,16
2008,Indiana,26
2009,Indiana,32
2010,Indiana,38
2011,Indiana,43
2012,Indiana,48
2013,Indiana,53
2014,Indiana,0
2002,Kansas,0
2003,Kansas,0
