year,Farming,Blue Collar,Service,White Collar,Other
1850,2634726.21,1893867.83,45738.83,526185.48,116777.94
1860,3547107.84,2820707.56,734199.12,958405.89,251177.34
1870,5481917.9,3763653.8,1001738.5,1330995.1,266671.7
1880,6951888.7,5750884.4,1362457,2127372.3,309560.9
1900,9377318,9795841,2516481,4929100,826977
1910,10575705,13180004,3425103,7554213,1518450
1920,9999996,15293734,3210240,10117443,1637201
1930,9965799,17563251,4626902,14133760,1589839
1940,8137671,17518024,5384412,14716785,1091549
1950,6715837,21597798,5758782,21117601,2127484
1960,3841636,22213847,6780649,25842352,2045847
1970,2367000,25365400,9343300,36335200,2850600
1980,2170980,29353560,12267680,51383060,2174680
1990,1834586,29745628,14893651,65815396,3055502
2000,1596133,30299914,16625420,78988340,2199069
2005,1499678,30571844,18966128,83047651,2343297
2010,1550825,27774198,21581676,85712455,2483525
2013,1567079,29291938,23104621,88735018,2539217
