UniqueID,Gi_Bin,FID_1,STATEFP10,COUNTYFP10,GEOID10,NAME10,NAMELSAD10,county,fips_text,HotspotNum,GEOID10_1,StateName
2,3,0,28,107,28107,Panola,Panola County,Panola,28107,1,28,Mississippi
4,3,2,28,027,28027,Coahoma,Coahoma County,Coahoma,28027,1,28,Mississippi
5,3,3,22,065,22065,Madison,Madison Parish,Madison Parish,22065,1,22,Louisiana
75,2,70,29,093,29093,Iron,Iron County,Iron,29093,1,29,Missouri
84,2,79,17,065,17065,Hamilton,Hamilton County,Hamilton,17065,1,17,Illinois
88,3,83,17,181,17181,Union,Union County,Union,17181,1,17,Illinois
96,2,91,17,047,17047,Edwards,Edwards County,Edwards,17047,1,17,Illinois
173,3,165,28,053,28053,Humphreys,Humphreys County,Humphreys,28053,1,28,Mississippi
185,2,177,22,029,22029,Concordia,Concordia Parish,Concordia Parish,22029,1,22,Louisiana
345,3,326,28,049,28049,Hinds,Hinds County,Hinds,28049,1,28,Mississippi
455,2,422,17,127,17127,Massac,Massac County,Massac,17127,1,17,Illinois
457,2,424,17,069,17069,Hardin,Hardin County,Hardin,17069,1,17,Illinois
607,3,564,05,107,05107,Phillips,Phillips County,Phillips,05107,1,05,Arkansas
608,3,565,05,111,05111,Poinsett,Poinsett County,Poinsett,05111,1,05,Arkansas
618,2,575,05,085,05085,Lonoke,Lonoke County,Lonoke,05085,1,05,Arkansas
621,3,578,05,031,05031,Craighead,Craighead County,Craighead,05031,1,05,Arkansas
622,3,579,05,079,05079,Lincoln,Lincoln County,Lincoln,05079,1,05,Arkansas
623,3,580,05,123,05123,St. Francis,St. Francis County,St. Francis,05123,1,05,Arkansas
625,3,582,05,017,05017,Chicot,Chicot County,Chicot,05017,1,05,Arkansas
727,2,665,17,157,17157,Randolph,Randolph County,Randolph,17157,1,17,Illinois
730,3,668,17,153,17153,Pulaski,Pulaski County,Pulaski,17153,1,17,Illinois
732,2,670,17,055,17055,Franklin,Franklin County,Franklin,17055,1,17,Illinois
791,3,727,28,011,28011,Bolivar,Bolivar County,Bolivar,28011,1,28,Mississippi
796,3,732,28,007,28007,Attala,Attala County,Attala,28007,1,28,Mississippi
797,3,733,28,093,28093,Marshall,Marshall County,Marshall,28093,1,28,Mississippi
798,3,734,28,043,28043,Grenada,Grenada County,Grenada,28043,1,28,Mississippi
803,2,739,28,001,28001,Adams,Adams County,Adams,28001,1,28,Mississippi
806,3,742,22,123,22123,West Carroll,West Carroll Parish,West Carroll Parish,22123,1,22,Louisiana
826,3,761,05,001,05001,Arkansas,Arkansas County,Arkansas,05001,1,05,Arkansas
831,3,766,05,035,05035,Crittenden,Crittenden County,Crittenden,05035,1,05,Arkansas
834,3,769,05,041,05041,Desha,Desha County,Desha,05041,1,05,Arkansas
842,3,777,05,095,05095,Monroe,Monroe County,Monroe,05095,1,05,Arkansas
980,3,895,17,077,17077,Jackson,Jackson County,Jackson,17077,1,17,Illinois
1124,2,1036,28,071,28071,Lafayette,Lafayette County,Lafayette,28071,1,28,Mississippi
1129,3,1041,28,051,28051,Holmes,Holmes County,Holmes,28051,1,28,Mississippi
1144,3,1055,05,117,05117,Prairie,Prairie County,Prairie,05117,1,05,Arkansas
1146,3,1057,05,077,05077,Lee,Lee County,Lee,05077,1,05,Arkansas
1149,3,1060,05,043,05043,Drew,Drew County,Drew,05043,1,05,Arkansas
1150,3,1061,05,037,05037,Cross,Cross County,Cross,05037,1,05,Arkansas
1156,2,1067,05,093,05093,Mississippi,Mississippi County,Mississippi,05093,1,05,Arkansas
1282,3,1185,17,087,17087,Johnson,Johnson County,Johnson,17087,1,17,Illinois
1284,2,1187,17,193,17193,White,White County,White,17193,1,17,Illinois
1394,3,1291,28,083,28083,Leflore,Leflore County,Leflore,28083,1,28,Mississippi
1397,3,1294,28,149,28149,Warren,Warren County,Warren,28149,1,28,Mississippi
1400,3,1297,28,143,28143,Tunica,Tunica County,Tunica,28143,1,28,Mississippi
1404,3,1301,28,133,28133,Sunflower,Sunflower County,Sunflower,28133,1,28,Mississippi
1405,3,1302,28,125,28125,Sharkey,Sharkey County,Sharkey,28125,1,28,Mississippi
1442,3,1335,05,147,05147,Woodruff,Woodruff County,Woodruff,05147,1,05,Arkansas
1550,2,1433,17,199,17199,Williamson,Williamson County,Williamson,17199,1,17,Illinois
1640,3,1518,21,075,21075,Fulton,Fulton County,Fulton,21075,1,21,Kentucky
1651,2,1529,21,007,21007,Ballard,Ballard County,Ballard,21007,1,21,Kentucky
1669,2,1547,21,145,21145,McCracken,McCracken County,McCracken,21145,1,21,Kentucky
1776,3,1651,28,097,28097,Montgomery,Montgomery County,Montgomery,28097,1,28,Mississippi
1779,2,1654,28,157,28157,Wilkinson,Wilkinson County,Wilkinson,28157,1,28,Mississippi
1781,3,1656,28,119,28119,Quitman,Quitman County,Quitman,28119,1,28,Mississippi
1968,3,1807,29,207,29207,Stoddard,Stoddard County,Stoddard,29207,1,29,Missouri
1975,2,1813,29,133,29133,Mississippi,Mississippi County,Mississippi,29133,1,29,Missouri
1976,2,1814,29,187,29187,St. Francois,St. Francois County,St. Francois,29187,1,29,Missouri
1986,3,1824,29,155,29155,Pemiscot,Pemiscot County,Pemiscot,29155,1,29,Missouri
1996,3,1834,29,017,29017,Bollinger,Bollinger County,Bollinger,29017,1,29,Missouri
2239,3,2074,28,161,28161,Yalobusha,Yalobusha County,Yalobusha,28161,1,28,Mississippi
2241,3,2076,28,033,28033,DeSoto,DeSoto County,DeSoto,28033,1,28,Mississippi
2245,3,2080,28,135,28135,Tallahatchie,Tallahatchie County,Tallahatchie,28135,1,28,Mississippi
2246,3,2081,28,089,28089,Madison,Madison County,Madison,28089,1,28,Mississippi
2249,3,2084,28,137,28137,Tate,Tate County,Tate,28137,1,28,Mississippi
2256,2,2091,22,107,22107,Tensas,Tensas Parish,Tensas Parish,22107,1,22,Louisiana
2352,3,2169,29,035,29035,Carter,Carter County,Carter,29035,1,29,Missouri
2357,3,2174,29,031,29031,Cape Girardeau,Cape Girardeau County,Cape Girardeau,29031,1,29,Missouri
2366,3,2183,29,069,29069,Dunklin,Dunklin County,Dunklin,29069,1,29,Missouri
2375,3,2192,17,003,17003,Alexander,Alexander County,Alexander,17003,1,17,Illinois
2378,2,2195,17,025,17025,Clay,Clay County,Clay,17025,1,17,Illinois
2398,3,2215,47,045,47045,Dyer,Dyer County,Dyer,47045,1,47,Tennessee
2405,3,2222,47,131,47131,Obion,Obion County,Obion,47131,1,47,Tennessee
2411,3,2228,47,167,47167,Tipton,Tipton County,Tipton,47167,1,47,Tennessee
2461,2,2278,47,033,47033,Crockett,Crockett County,Crockett,47033,1,47,Tennessee
2467,2,2284,47,053,47053,Gibson,Gibson County,Gibson,47053,1,47,Tennessee
2483,2,2300,47,047,47047,Fayette,Fayette County,Fayette,47047,1,47,Tennessee
2582,3,2398,28,163,28163,Yazoo,Yazoo County,Yazoo,28163,1,28,Mississippi
2583,3,2399,28,015,28015,Carroll,Carroll County,Carroll,28015,1,28,Mississippi
2588,3,2404,28,151,28151,Washington,Washington County,Washington,28151,1,28,Mississippi
2592,2,2408,22,041,22041,Franklin,Franklin Parish,Franklin Parish,22041,1,22,Louisiana
2682,3,2485,29,223,29223,Wayne,Wayne County,Wayne,29223,1,29,Missouri
2771,3,2571,47,095,47095,Lake,Lake County,Lake,47095,1,47,Tennessee
2798,3,2598,47,075,47075,Haywood,Haywood County,Haywood,47075,1,47,Tennessee
2812,3,2612,47,097,47097,Lauderdale,Lauderdale County,Lauderdale,47097,1,47,Tennessee
2827,3,2627,47,157,47157,Shelby,Shelby County,Shelby,47157,1,47,Tennessee
2836,3,2636,22,035,22035,East Carroll,East Carroll Parish,East Carroll Parish,22035,1,22,Louisiana
2947,3,2738,29,123,29123,Madison,Madison County,Madison,29123,1,29,Missouri
2951,3,2742,29,023,29023,Butler,Butler County,Butler,29023,1,29,Missouri
2957,3,2748,29,201,29201,Scott,Scott County,Scott,29201,1,29,Missouri
2959,3,2750,29,143,29143,New Madrid,New Madrid County,New Madrid,29143,1,29,Missouri
2961,3,2752,29,157,29157,Perry,Perry County,Perry,29157,1,29,Missouri
2982,2,2772,17,151,17151,Pope,Pope County,Pope,17151,1,17,Illinois
2988,3,2778,17,145,17145,Perry,Perry County,Perry,17145,1,17,Illinois
331,3,312,39,145,39145,Scioto,Scioto County,Scioto,39145,2,39,Ohio
794,3,730,39,165,39165,Warren,Warren County,Warren,39165,2,39,Ohio
868,3,802,54,005,54005,Boone,Boone County,Boone,54005,2,54,West Virginia
875,2,809,54,105,54105,Wirt,Wirt County,Wirt,54105,2,54,West Virginia
878,3,812,54,043,54043,Lincoln,Lincoln County,Lincoln,54043,2,54,West Virginia
886,3,819,54,059,54059,Mingo,Mingo County,Mingo,54059,2,54,West Virginia
889,3,822,54,053,54053,Mason,Mason County,Mason,54053,2,54,West Virginia
1197,2,1105,54,011,54011,Cabell,Cabell County,Cabell,54011,2,54,West Virginia
1200,3,1108,54,039,54039,Kanawha,Kanawha County,Kanawha,54039,2,54,West Virginia
1202,2,1110,54,013,54013,Calhoun,Calhoun County,Calhoun,54013,2,54,West Virginia
1203,2,1111,54,107,54107,Wood,Wood County,Wood,54107,2,54,West Virginia
1204,2,1112,54,073,54073,Pleasants,Pleasants County,Pleasants,54073,2,54,West Virginia
1205,2,1113,54,017,54017,Doddridge,Doddridge County,Doddridge,54017,2,54,West Virginia
