year,state,job,id
1978,Alabama,"Machine operators, n.e.c",1
1979,Alabama,"Machine operators, n.e.c",1
1980,Alabama,"Truck, delivery, and tractor drivers",1
1981,Alabama,"Machine operators, n.e.c",1
1982,Alabama,"Machine operators, n.e.c",1
1983,Alabama,"Truck, delivery, and tractor drivers",1
1984,Alabama,"Truck, delivery, and tractor drivers",1
1985,Alabama,"Truck, delivery, and tractor drivers",1
1986,Alabama,"Truck, delivery, and tractor drivers",1
1987,Alabama,"Truck, delivery, and tractor drivers",1
1988,Alabama,"Truck, delivery, and tractor drivers",1
1989,Alabama,"Truck, delivery, and tractor drivers",1
1990,Alabama,"Truck, delivery, and tractor drivers",1
1991,Alabama,"Truck, delivery, and tractor drivers",1
1992,Alabama,"Truck, delivery, and tractor drivers",1
1993,Alabama,"Truck, delivery, and tractor drivers",1
1994,Alabama,"Truck, delivery, and tractor drivers",1
1995,Alabama,"Truck, delivery, and tractor drivers",1
1996,Alabama,"Truck, delivery, and tractor drivers",1
1997,Alabama,"Truck, delivery, and tractor drivers",1
1998,Alabama,"Machine operators, n.e.c",1
1999,Alabama,"Truck, delivery, and tractor drivers",1
2000,Alabama,"Truck, delivery, and tractor drivers",1
2001,Alabama,"Truck, delivery, and tractor drivers",1
2002,Alabama,"Truck, delivery, and tractor drivers",1
2003,Alabama,"Truck, delivery, and tractor drivers",1
2004,Alabama,"Truck, delivery, and tractor drivers",1
2005,Alabama,"Truck, delivery, and tractor drivers",1
2006,Alabama,"Truck, delivery, and tractor drivers",1
2007,Alabama,"Truck, delivery, and tractor drivers",1
2008,Alabama,Secretaries,1
2009,Alabama,Secretaries,1
2010,Alabama,Registered nurses,1
2011,Alabama,"Truck, delivery, and tractor drivers",1
2012,Alabama,"Truck, delivery, and tractor drivers",1
2013,Alabama,"Truck, delivery, and tractor drivers",1
2014,Alabama,"Truck, delivery, and tractor drivers",1
1978,Alaska,Secretaries,2
1979,Alaska,Secretaries,2
1980,Alaska,Secretaries,2
1981,Alaska,Secretaries,2
1982,Alaska,Secretaries,2
1983,Alaska,Secretaries,2
1984,Alaska,Secretaries,2
1985,Alaska,Secretaries,2
1986,Alaska,Secretaries,2
1987,Alaska,Secretaries,2
1988,Alaska,Secretaries,2
1989,Alaska,Secretaries,2
1990,Alaska,"Truck, delivery, and tractor drivers",2
1991,Alaska,"Truck, delivery, and tractor drivers",2
1992,Alaska,"Truck, delivery, and tractor drivers",2
1993,Alaska,"Truck, delivery, and tractor drivers",2
1994,Alaska,"Truck, delivery, and tractor drivers",2
1995,Alaska,"Truck, delivery, and tractor drivers",2
1996,Alaska,Primary school teachers,2
1997,Alaska,Primary school teachers,2
1998,Alaska,Primary school teachers,2
1999,Alaska,Janitors,2
2000,Alaska,Janitors,2
2001,Alaska,Secretaries,2
2002,Alaska,Janitors,2
2003,Alaska,Carpenters,2
2004,Alaska,Secretaries,2
2005,Alaska,Secretaries,2
2006,Alaska,Secretaries,2
2007,Alaska,Secretaries,2
2008,Alaska,Primary school teachers,2
2009,Alaska,"Truck, delivery, and tractor drivers",2
2010,Alaska,"Truck, delivery, and tractor drivers",2
2011,Alaska,Primary school teachers,2
2012,Alaska,Primary school teachers,2
2013,Alaska,Primary school teachers,2
2014,Alaska,Primary school teachers,2
1978,Arizona,"Truck, delivery, and tractor drivers",4
1979,Arizona,Secretaries,4
1980,Arizona,Secretaries,4
