year,state,value,id
2014,Alabama,10.8,1
2013,Alabama,10.8,1
2012,Alabama,9.3,1
2011,Alabama,10,1
2010,Alabama,10.2,1
2009,Alabama,10.9,1
2008,Alabama,9.8,1
2007,Alabama,9.6,1
2006,Alabama,8.8,1
2005,Alabama,10.2,1
2004,Alabama,9.8,1
2003,Alabama,8.1,1
2002,Alabama,9.1,1
2001,Alabama,10,1
2000,Alabama,9.8,1
1999,Alabama,11,1
1998,Alabama,9.8,1
1997,Alabama,10.3,1
1996,Alabama,11.6,1
1995,Alabama,13.8,1
1994,Alabama,14.2,1
1993,Alabama,14.9,1
1992,Alabama,14,1
1991,Alabama,13.5,1
1990,Alabama,12.5,1
1989,Alabama,14,1
1988,Alabama,14.4,1
1987,Alabama,14.1,1
1986,Alabama,15.9,1
1985,Alabama,15.9,1
1984,Alabama,15.2,1
1983,Alabama,17.1,1
1982,Alabama,17.7,1
1981,Alabama,18.4,1
1980,Alabama,19.5,1
1979,Alabama,24,1
1978,Alabama,21.6,1
1977,Alabama,18.7,1
1976,Alabama,19.9,1
1975,Alabama,20.7,1
1974,Alabama,23.1,1
1973,Alabama,23.3,1
1972,Alabama,21.4,1
1971,Alabama,22.1,1
1970,Alabama,22.8,1
1969,Alabama,22.6,1
1968,Alabama,22.4,1
1967,Alabama,22,1
1966,Alabama,21.5,1
1965,Alabama,21.3,1
1964,Alabama,21.1,1
2014,Alaska,22.7,2
2013,Alaska,23,2
2012,Alaska,22.5,2
2011,Alaska,22.2,2
2010,Alaska,23.2,2
2009,Alaska,22.4,2
2008,Alaska,23.7,2
2007,Alaska,23.9,2
2006,Alaska,22.4,2
2005,Alaska,22.9,2
2004,Alaska,20.3,2
2003,Alaska,22.5,2
2002,Alaska,24.5,2
2001,Alaska,22.1,2
2000,Alaska,21.9,2
1999,Alaska,20.4,2
1998,Alaska,20.4,2
1997,Alaska,20,2
1996,Alaska,22.4,2
1995,Alaska,23.2,2
1994,Alaska,19.4,2
1993,Alaska,20.4,2
1992,Alaska,20.9,2
1991,Alaska,21.6,2
1990,Alaska,23.2,2
1989,Alaska,22.9,2
1988,Alaska,24.3,2
1987,Alaska,22.3,2
1986,Alaska,23.3,2
1985,Alaska,25,2
1984,Alaska,24.2,2
1983,Alaska,24.9,2
1982,Alaska,29.3,2
1981,Alaska,33.7,2
1980,Alaska,29.7,2
1979,Alaska,30.7,2
1978,Alaska,30.4,2
1977,Alaska,30.6,2
1976,Alaska,34.3,2
1975,Alaska,34.5,2
1974,Alaska,34.5,2
1973,Alaska,33.6,2
1972,Alaska,33.7,2
1971,Alaska,33.5,2
1970,Alaska,33.2,2
1969,Alaska,37.5,2
1968,Alaska,41.8,2
1967,Alaska,39.5,2
1966,Alaska,37.3,2
1965,Alaska,38.5,2
1964,Alaska,39.7,2
2014,Arizona,5.3,4
2013,Arizona,5,4
2012,Arizona,5.2,4
2011,Arizona,6,4
2010,Arizona,6.4,4
2009,Arizona,6.6,4
2008,Arizona,8.8,4
2007,Arizona,8.8,4
2006,Arizona,7.7,4
2005,Arizona,6.1,4
2004,Arizona,6.3,4
2003,Arizona,5.2,4
2002,Arizona,5.7,4
2001,Arizona,6.1,4
2000,Arizona,6.6,4
1999,Arizona,6.9,4
1998,Arizona,6.5,4
1997,Arizona,7.1,4
1996,Arizona,5.9,4
1995,Arizona,8.2,4
1994,Arizona,8.1,4
1993,Arizona,7.4,4
1992,Arizona,7.4,4
1991,Arizona,7.8,4
1990,Arizona,7.9,4
1989,Arizona,7.4,4
1988,Arizona,7,4
1987,Arizona,6.2,4
1986,Arizona,8.3,4
1985,Arizona,9.5,4
1984,Arizona,9.2,4
1983,Arizona,11.6,4
1982,Arizona,11.2,4
1981,Arizona,10.8,4
1980,Arizona,16.1,4
1979,Arizona,14.4,4
1978,Arizona,14.7,4
1977,Arizona,15.6,4
1976,Arizona,13.7,4
1975,Arizona,12.2,4
1974,Arizona,14.5,4
1973,Arizona,16.1,4
1972,Arizona,15.7,4
1971,Arizona,16.2,4
1970,Arizona,16.7,4
1969,Arizona,17.3,4
1968,Arizona,17.9,4
1967,Arizona,17.4,4
1966,Arizona,16.9,4
1965,Arizona,17.3,4
1964,Arizona,17.6,4
2014,Arkansas,4.8,5
2013,Arkansas,3.6,5
2012,Arkansas,3.2,5
2011,Arkansas,4.3,5
2010,Arkansas,4.1,5
2009,Arkansas,4.3,5
2008,Arkansas,6,5
2007,Arkansas,5.4,5
2006,Arkansas,5.2,5
2005,Arkansas,4.8,5
2004,Arkansas,4.9,5
2003,Arkansas,4.9,5
2002,Arkansas,6.1,5
2001,Arkansas,6.4,5
2000,Arkansas,5.9,5
1999,Arkansas,7.6,5
1998,Arkansas,6.2,5
1997,Arkansas,6,5
1996,Arkansas,7.2,5
1995,Arkansas,7.9,5
1994,Arkansas,8.1,5
1993,Arkansas,8.4,5
1992,Arkansas,8.8,5
1991,Arkansas,10.4,5
1990,Arkansas,10.5,5
1989,Arkansas,10.1,5
1988,Arkansas,9.9,5
1987,Arkansas,11.3,5
1986,Arkansas,10,5
1985,Arkansas,11.5,5
1984,Arkansas,10,5
1983,Arkansas,11.6,5
1982,Arkansas,9.8,5
1981,Arkansas,8,5
1980,Arkansas,11.7,5
1979,Arkansas,13.7,5
1978,Arkansas,13.1,5
1977,Arkansas,14.1,5
1976,Arkansas,14.8,5
1975,Arkansas,14.4,5
1974,Arkansas,13.8,5
1973,Arkansas,16.4,5
1972,Arkansas,14.5,5
1971,Arkansas,15.1,5
1970,Arkansas,15.7,5
1969,Arkansas,16.2,5
1968,Arkansas,16.7,5
1967,Arkansas,16,5
1966,Arkansas,15.3,5
1965,Arkansas,15.1,5
1964,Arkansas,15,5
2014,California,16.6,6
2013,California,16.7,6
2012,California,17.4,6
2011,California,17.4,6
2010,California,17.8,6
2009,California,17.4,6
2008,California,18.6,6
2007,California,16.9,6
2006,California,15.8,6
2005,California,16.7,6
2004,California,16.7,6
2003,California,17.1,6
2002,California,18.2,6
2001,California,16.8,6
2000,California,16.4,6
1999,California,16.9,6
1998,California,16.5,6
1997,California,16.4,6
1996,California,16.9,6
1995,California,18.1,6
1994,California,18.3,6
1993,California,18.5,6
1992,California,18.6,6
1991,California,18.7,6
1990,California,18.8,6
1989,California,19.4,6
1988,California,18.8,6
1987,California,19.8,6
1986,California,20.3,6
1985,California,20.7,6
1984,California,21.6,6
1983,California,22.3,6
1982,California,22.6,6
1981,California,22.8,6
1980,California,24.4,6
1979,California,26,6
1978,California,26.2,6
1977,California,25.7,6
1976,California,22.7,6
1975,California,24.6,6
1974,California,28.5,6
1973,California,26.9,6
1972,California,28.6,6
1971,California,29.5,6
1970,California,30.5,6
1969,California,31,6
1968,California,31.6,6
1967,California,31.5,6
1966,California,31.5,6
1965,California,32.2,6
1964,California,33,6
2014,Colorado,9.5,8
2013,Colorado,7.5,8
2012,Colorado,7.9,8
2011,Colorado,8.2,8
2010,Colorado,6.6,8
2009,Colorado,7.1,8
2008,Colorado,8.1,8
2007,Colorado,8.7,8
2006,Colorado,7.7,8
2005,Colorado,8.3,8
2004,Colorado,8.5,8
2003,Colorado,7.8,8
2002,Colorado,7.9,8
2001,Colorado,9.2,8
2000,Colorado,9.1,8
1999,Colorado,9.5,8
1998,Colorado,9.2,8
1997,Colorado,9.7,8
1996,Colorado,9.9,8
1995,Colorado,10,8
1994,Colorado,11,8
1993,Colorado,9.9,8
1992,Colorado,10.2,8
1991,Colorado,9.9,8
1990,Colorado,10.7,8
1989,Colorado,9.3,8
1988,Colorado,10.6,8
1987,Colorado,11.6,8
1986,Colorado,12.6,8
1985,Colorado,11.9,8
1984,Colorado,13.1,8
1983,Colorado,13.8,8
1982,Colorado,14.1,8
1981,Colorado,14.4,8
1980,Colorado,15.2,8
1979,Colorado,17.8,8
1978,Colorado,17.3,8
1977,Colorado,14.9,8
1976,Colorado,15.4,8
1975,Colorado,13.7,8
1974,Colorado,16.3,8
1973,Colorado,18.1,8
1972,Colorado,17.2,8
1971,Colorado,18.4,8
1970,Colorado,19.5,8
1969,Colorado,20.2,8
1968,Colorado,20.8,8
1967,Colorado,21,8
1966,Colorado,21.1,8
1965,Colorado,21.2,8
1964,Colorado,21.2,8
2014,Connecticut,14.8,9
2013,Connecticut,13.5,9
2012,Connecticut,14.1,9
2011,Connecticut,16.8,9
2010,Connecticut,16.7,9
2009,Connecticut,17.3,9
2008,Connecticut,17,9
2007,Connecticut,15.7,9
2006,Connecticut,15.6,9
2005,Connecticut,16,9
2004,Connecticut,15.3,9
2003,Connecticut,15.4,9
2002,Connecticut,17,9
2001,Connecticut,15.1,9
2000,Connecticut,16.4,9
1999,Connecticut,18.3,9
1998,Connecticut,17.6,9
1997,Connecticut,17,9
1996,Connecticut,16.6,9
1995,Connecticut,20.3,9
1994,Connecticut,20.2,9
1993,Connecticut,18.9,9
1992,Connecticut,18,9
1991,Connecticut,19.1,9
1990,Connecticut,17.8,9
1989,Connecticut,18.6,9
1988,Connecticut,19.6,9
1987,Connecticut,18.7,9
1986,Connecticut,19.4,9
1985,Connecticut,21,9
1984,Connecticut,20.5,9
1983,Connecticut,22.8,9
1982,Connecticut,23.4,9
1981,Connecticut,24.1,9
1980,Connecticut,25.8,9
1979,Connecticut,24.8,9
1978,Connecticut,26.7,9
1977,Connecticut,24.1,9
1976,Connecticut,25.2,9
1975,Connecticut,24.1,9
1974,Connecticut,24.9,9
1973,Connecticut,22.9,9
1972,Connecticut,27.9,9
1971,Connecticut,26.9,9
1970,Connecticut,25.8,9
1969,Connecticut,25.6,9
1968,Connecticut,25.3,9
1967,Connecticut,26.5,9
1966,Connecticut,27.8,9
1965,Connecticut,28.3,9
1964,Connecticut,28.8,9
2014,Delaware,9.9,10
2013,Delaware,10.4,10
2012,Delaware,10.6,10
2011,Delaware,10.5,10
2010,Delaware,11.5,10
2009,Delaware,12,10
2008,Delaware,13.5,10
2007,Delaware,12,10
2006,Delaware,10.8,10
2005,Delaware,11.9,10
2004,Delaware,12.4,10
2003,Delaware,11.5,10
2002,Delaware,11.2,10
2001,Delaware,12.5,10
2000,Delaware,13.4,10
1999,Delaware,14,10
1998,Delaware,13.8,10
1997,Delaware,11.8,10
1996,Delaware,12.5,10
1995,Delaware,13.2,10
1994,Delaware,13.5,10
1993,Delaware,15.6,10
1992,Delaware,16.6,10
1991,Delaware,16.8,10
1990,Delaware,15,10
1989,Delaware,15.9,10
1988,Delaware,15.8,10
1987,Delaware,17,10
1986,Delaware,16.9,10
1985,Delaware,16.6,10
1984,Delaware,17.9,10
1983,Delaware,20.2,10
1982,Delaware,23.5,10
1981,Delaware,26.7,10
1980,Delaware,22.6,10
1979,Delaware,27,10
1978,Delaware,25.4,10
1977,Delaware,22.4,10
1976,Delaware,25.2,10
1975,Delaware,24.3,10
1974,Delaware,24.7,10
1973,Delaware,24.9,10
1972,Delaware,24.8,10
1971,Delaware,26.1,10
1970,Delaware,27.4,10
1969,Delaware,29.6,10
1968,Delaware,31.9,10
1967,Delaware,29.2,10
1966,Delaware,26.5,10
1965,Delaware,27.9,10
1964,Delaware,29.2,10
2014,District of Columbia,8.6,11
2013,District of Columbia,9.3,11
2012,District of Columbia,8.6,11
2011,District of Columbia,8.4,11
2010,District of Columbia,9,11
2009,District of Columbia,10.4,11
2008,District of Columbia,12.2,11
