year,origin,dest_state,dest_city,arrivals
2005,Afghanistan,New York,Buffalo,4
2006,Afghanistan,New York,Buffalo,23
2007,Afghanistan,New York,Buffalo,10
2008,Afghanistan,New York,Buffalo,24
2009,Afghanistan,New York,Buffalo,8
2010,Afghanistan,New York,Buffalo,0
2011,Afghanistan,New York,Buffalo,0
2012,Afghanistan,New York,Buffalo,15
2013,Afghanistan,New York,Buffalo,5
2014,Afghanistan,New York,Buffalo,19
2015,Afghanistan,New York,Buffalo,24
2005,Angola,New York,Buffalo,0
2006,Angola,New York,Buffalo,6
2007,Angola,New York,Buffalo,0
2008,Angola,New York,Buffalo,1
2009,Angola,New York,Buffalo,4
2010,Angola,New York,Buffalo,0
2011,Angola,New York,Buffalo,2
2012,Angola,New York,Buffalo,0
2013,Angola,New York,Buffalo,6
2014,Angola,New York,Buffalo,0
2015,Angola,New York,Buffalo,0
2005,Belarus,New York,Buffalo,0
2006,Belarus,New York,Buffalo,4
2007,Belarus,New York,Buffalo,0
2008,Belarus,New York,Buffalo,0
2009,Belarus,New York,Buffalo,0
2010,Belarus,New York,Buffalo,0
2011,Belarus,New York,Buffalo,4
2012,Belarus,New York,Buffalo,0
2013,Belarus,New York,Buffalo,0
2014,Belarus,New York,Buffalo,0
2015,Belarus,New York,Buffalo,0
2005,Bhutan,New York,Buffalo,0
2006,Bhutan,New York,Buffalo,0
2007,Bhutan,New York,Buffalo,0
2008,Bhutan,New York,Buffalo,120
2009,Bhutan,New York,Buffalo,325
2010,Bhutan,New York,Buffalo,265
2011,Bhutan,New York,Buffalo,294
2012,Bhutan,New York,Buffalo,290
2013,Bhutan,New York,Buffalo,231
2014,Bhutan,New York,Buffalo,174
2015,Bhutan,New York,Buffalo,123
2005,Burma,New York,Buffalo,87
2006,Burma,New York,Buffalo,107
2007,Burma,New York,Buffalo,372
2008,Burma,New York,Buffalo,607
2009,Burma,New York,Buffalo,746
2010,Burma,New York,Buffalo,510
2011,Burma,New York,Buffalo,433
2012,Burma,New York,Buffalo,362
2013,Burma,New York,Buffalo,407
2014,Burma,New York,Buffalo,337
2015,Burma,New York,Buffalo,413
2005,Burundi,New York,Buffalo,9
2006,Burundi,New York,Buffalo,19
2007,Burundi,New York,Buffalo,89
2008,Burundi,New York,Buffalo,37
2009,Burundi,New York,Buffalo,14
2010,Burundi,New York,Buffalo,2
2011,Burundi,New York,Buffalo,5
2012,Burundi,New York,Buffalo,1
2013,Burundi,New York,Buffalo,0
2014,Burundi,New York,Buffalo,0
2015,Burundi,New York,Buffalo,3
2005,Cameroon,New York,Buffalo,0
2006,Cameroon,New York,Buffalo,0
2007,Cameroon,New York,Buffalo,0
2008,Cameroon,New York,Buffalo,0
2009,Cameroon,New York,Buffalo,0
2010,Cameroon,New York,Buffalo,1
2011,Cameroon,New York,Buffalo,0
2012,Cameroon,New York,Buffalo,5
2013,Cameroon,New York,Buffalo,0
2014,Cameroon,New York,Buffalo,0
2015,Cameroon,New York,Buffalo,0
2005,Central African Republic,New York,Buffalo,9
2006,Central African Republic,New York,Buffalo,0
2007,Central African Republic,New York,Buffalo,0
2008,Central African Republic,New York,Buffalo,10
2009,Central African Republic,New York,Buffalo,0
2010,Central African Republic,New York,Buffalo,1
2011,Central African Republic,New York,Buffalo,0
2012,Central African Republic,New York,Buffalo,1
2013,Central African Republic,New York,Buffalo,0
2014,Central African Republic,New York,Buffalo,2
2015,Central African Republic,New York,Buffalo,3
2005,Chad,New York,Buffalo,0
2006,Chad,New York,Buffalo,0
2007,Chad,New York,Buffalo,0
2008,Chad,New York,Buffalo,0
2009,Chad,New York,Buffalo,0
2010,Chad,New York,Buffalo,0
2011,Chad,New York,Buffalo,0
2012,Chad,New York,Buffalo,0
2013,Chad,New York,Buffalo,0
2014,Chad,New York,Buffalo,1
2015,Chad,New York,Buffalo,0
2005,China,New York,Buffalo,0
2006,China,New York,Buffalo,5
2007,China,New York,Buffalo,0
2008,China,New York,Buffalo,0
2009,China,New York,Buffalo,0
2010,China,New York,Buffalo,0
2011,China,New York,Buffalo,0
2012,China,New York,Buffalo,0
2013,China,New York,Buffalo,0
2014,China,New York,Buffalo,0
2015,China,New York,Buffalo,0
2005,Colombia,New York,Buffalo,0
2006,Colombia,New York,Buffalo,0
2007,Colombia,New York,Buffalo,0
2008,Colombia,New York,Buffalo,0
2009,Colombia,New York,Buffalo,0
2010,Colombia,New York,Buffalo,0
2011,Colombia,New York,Buffalo,0
2012,Colombia,New York,Buffalo,0
2013,Colombia,New York,Buffalo,0
2014,Colombia,New York,Buffalo,0
2015,Colombia,New York,Buffalo,7
2005,Congo,New York,Buffalo,0
2006,Congo,New York,Buffalo,0
2007,Congo,New York,Buffalo,3
2008,Congo,New York,Buffalo,11
2009,Congo,New York,Buffalo,5
2010,Congo,New York,Buffalo,0
2011,Congo,New York,Buffalo,3
2012,Congo,New York,Buffalo,2
2013,Congo,New York,Buffalo,29
2014,Congo,New York,Buffalo,1
2015,Congo,New York,Buffalo,5
2005,Cuba,New York,Buffalo,2
2006,Cuba,New York,Buffalo,13
2007,Cuba,New York,Buffalo,12
2008,Cuba,New York,Buffalo,9
2009,Cuba,New York,Buffalo,19
2010,Cuba,New York,Buffalo,16
2011,Cuba,New York,Buffalo,7
2012,Cuba,New York,Buffalo,8
2013,Cuba,New York,Buffalo,24
2014,Cuba,New York,Buffalo,12
2015,Cuba,New York,Buffalo,1
2005,Dem. Rep. Congo,New York,Buffalo,10
2006,Dem. Rep. Congo,New York,Buffalo,2
2007,Dem. Rep. Congo,New York,Buffalo,1
2008,Dem. Rep. Congo,New York,Buffalo,13
2009,Dem. Rep. Congo,New York,Buffalo,25
2010,Dem. Rep. Congo,New York,Buffalo,126
2011,Dem. Rep. Congo,New York,Buffalo,10
2012,Dem. Rep. Congo,New York,Buffalo,50
2013,Dem. Rep. Congo,New York,Buffalo,33
2014,Dem. Rep. Congo,New York,Buffalo,136
2015,Dem. Rep. Congo,New York,Buffalo,128
