"","PANEL","y","count","x","xmin","xmax","density","ncount","ndensity","group","ymin","ymax","colour","fill","size","linetype","alpha","State.Name"
"1","1",0,0,125,0,250,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
"2","1",0,0,375,250,500,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
"3","1",0,0,625,500,750,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
"4","1",0,0,875,750,1000,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
"5","1",0,0,1125,1000,1250,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
"6","1",0,0,1375,1250,1500,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
"7","1",0,0,1625,1500,1750,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
"8","1",0,0,1875,1750,2000,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
"9","1",0,0,2125,2000,2250,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
"10","1",0,0,2375,2250,2500,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
"11","1",0,0,2625,2500,2750,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
"12","1",0,0,2875,2750,3000,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
"13","1",0,0,3125,3000,3250,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
"14","1",0,0,3375,3250,3500,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
"15","1",0,0,3625,3500,3750,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
"16","1",0,0,3875,3750,4000,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
"17","1",0,0,4125,4000,4250,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
"18","1",0,0,4375,4250,4500,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
"19","1",0,0,4625,4500,4750,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
"20","1",0,0,4875,4750,5000,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
"21","1",0,0,5125,5000,5250,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
"22","1",0,0,5375,5250,5500,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
"23","1",0,0,5625,5500,5750,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
"24","1",0,0,5875,5750,6000,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
"25","1",0,0,6125,6000,6250,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
"26","1",0,0,6375,6250,6500,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
"27","1",0,0,6625,6500,6750,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
"28","1",0,0,6875,6750,7000,0,0,0,-1,0,0,NA,"grey35",0.5,1,NA,"AK"
