STATEFP,SCSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,ELSDLEA,UNSDLEA,NPR_AllDistricts_3.24.16_NCES_ID_ORIG,NPR_AllDistricts_3.24.16_District Name,NPR_AllDistricts_3.24.16_State Name,NPR_AllDistricts_3.24.16_City Name,NPR_AllDistricts_3.24.16_ENROLLMENT (Number of students enrolled in district):2013,NPR_AllDistricts_3.24.16_Raw per-pupil expenditures for district:2013,"NPR_AllDistricts_3.24.16_Per-pupil expenditures for district, adjusted by regional cost differences:2013",NPR_AllDistricts_3.24.16_color_bin_orig,NPR_AllDistricts_3.24.16_color_bin
04,00720,0400720,Antelope Union High School District,00,09,12,G5410,,E,7937908278,3400,+32.9920489,-113.8173717,,,400720,ANTELOPE UNION HIGH SCHOOL DISTRICT  50,AZ,WELLTON,282,10943.2624113475,11410.9787105165,,bin3
04,01740,0401740,Casa Grande Union High School District,00,09,12,G5410,,E,3365445185,1173327,+32.8391529,-111.9208947,,,401740,CASA GRANDE UNION HIGH SCHOOL DISTRICT 82,AZ,CASA GRANDE,3561,7122.99915754002,6803.81841870231,,bin1
04,01160,0401160,Bicentennial Union High School District,00,09,12,G5410,,E,9842304876,22988821,+33.6694969,-113.9521527,,,401160,BICENTENNIAL UNION HIGH SCHOOL DISTRICT 76,AZ,SALOME,131,12343.5114503817,14519.8155960321,,bin4
04,07530,0407530,Santa Cruz Valley Union High School District,00,09,12,G5410,,E,1857330613,3443533,+32.6430009,-111.4370935,,,407530,SANTA CRUZ VALLEY UNION HIGH SCHOOL DISTRICT 840,AZ,ELOY,364,9299.45054945055,8882.74328450354,,bin2
04,09630,0409630,Yuma Union High School District,00,09,12,G5410,,E,6343283514,13167916,+32.5295065,-114.0048912,,,409630,YUMA UNION HIGH SCHOOL DISTRICT 70,AZ,YUMA,10793,6181.96979523765,6446.18789816874,,bin1
04,00082,0400082,Colorado River Union High School District,00,09,12,G5410,,E,2711195786,74672820,+35.1052137,-114.4678343,,,400082,COLORADO R UNION HIGH SCHOOL DISTRICT 2,AZ,FORT MOHAVE,2157,6331.94251274919,7448.33737298891,,bin1
04,08340,0408340,Tempe Union High School District,00,09,12,G5410,,E,428686713,2553151,+33.3111998,-111.9835387,,,408340,TEMPE UNION HIGH SCHOOL DISTRICT 213,AZ,TEMPE,13855,6713.46084446048,6412.63146836479,,bin1
04,01410,0401410,Buckeye Union High School District,00,09,12,G5410,,E,3165182876,214246,+33.3198987,-112.8117940,,,401410,BUCKEYE UNION HIGH SCHOOL DISTRICT 201,AZ,BUCKEYE,3791,6931.15273015036,6620.56860673872,,bin1
04,06330,0406330,Phoenix Union High School District,00,09,12,G5410,,E,449331865,1962849,+33.4408648,-112.0990258,,,406330,PHOENIX UNION HIGH SCHOOL DISTRICT 210,AZ,PHOENIX,25854,13028.8156571517,12444.9959885465,,bin4
04,03450,0403450,Glendale Union High School District,00,09,12,G5410,,E,153669443,412847,+33.5743168,-112.1351943,,,403450,GLENDALE UNION HIGH SCHOOL DISTRICT 205,AZ,GLENDALE,15022,8122.48701903874,7758.51934887664,,bin2
