geo_address,latitude,longitude,count
"Minneapolis / St. Paul, Minnesota",46.453909,-92.768636,526
"Oklahoma City, Oklahoma",35.473000,-97.517100,521
"Cincinnati, Ohio",39.101500,-84.512500,351
"Columbus, Ohio",39.962300,-83.000700,338
"St. Louis, Missouri",38.630000,-90.190000,298
"Colorado Springs, Colorado",38.834000,-104.825300,274
"Tulsa, Oklahoma",36.101200,-95.925100,263
"Denver, Colorado",39.734800,-104.965300,243
"Raleigh / Durham / CH, North Carolina",35.780400,-78.639100,243
"Springfield, Missouri",37.215300,-93.298300,242
"Charlotte, North Carolina",35.227100,-80.843100,234
"Chicago, Illinois",41.875600,-87.624400,233
"Tampa/St. Pete, Florida",27.947800,-82.458400,227
"Dallas, Texas",32.776300,-96.796900,226
"Knoxville, Tennessee",35.960400,-83.921000,216
"Richmond, Virginia",37.538500,-77.434300,204
"Seattle, Washington",47.603800,-122.330100,200
"Indianapolis, Indiana",39.768300,-86.158400,191
"Cleveland, Ohio",41.505200,-81.693400,184
"Atlanta, Georgia",33.749100,-84.390200,181
Ohio,40.358615,-82.706838,177
"Dayton, Ohio",39.758900,-84.191600,172
"Detroit, Michigan",42.348700,-83.056700,164
"Reno, Nevada",39.529300,-119.813700,163
"Northern Virginia, Virginia",38.789860,-77.516773,160
"Wichita, Kansas",37.692200,-97.337500,152
"Greenville, South Carolina",34.851400,-82.398500,151
"Hickory / Lenoir, North Carolina",35.733200,-81.341200,150
"Louisville, Kentucky",38.254200,-85.759400,142
"Birmingham, Alabama",33.520700,-86.802400,142
"Phoenix, Arizona",33.448600,-112.077300,139
"Winston Salem, North Carolina",36.099900,-80.244200,134
South Carolina,33.627451,-80.531492,134
"Nashville, Tennessee",36.162200,-86.774400,133
"Houston, Texas",29.758900,-95.367700,133
"Columbia, South Carolina",34.000700,-81.034300,128
"Tacoma, Washington",47.249600,-122.439900,117
"Orlando, Florida",28.542100,-81.379000,115
Massachusetts,42.038046,-71.457543,115
"Pittsburgh, Pennsylvania",40.441700,-79.990100,114
"Lexington, Kentucky",38.046400,-84.497000,106
"Akron, Ohio",41.083100,-81.518500,105
"Portland, Oregon",45.520200,-122.674200,104
"Toledo, Ohio",41.678700,-83.512700,103
"Milwaukee, Wisconsin",43.011500,-87.973500,102
"San Antonio, Texas",29.424600,-98.495100,98
"Albuquerque, New Mexico",35.084100,-106.651000,96
"Huntsville, Alabama",34.729800,-86.585900,95
"Hampton Roads, Virginia",36.766665,-76.251509,93
North Carolina,35.170131,-78.568726,92
"Greensboro, North Carolina",36.072600,-79.792000,90
"Southwest Washington, Washington",38.856500,-77.010800,85
"Jacksonville, Florida",30.332200,-81.655700,84
"Northern Kentucky, Kentucky",39.018740,-84.575626,83
"Fayetteville, North Carolina",35.053000,-78.878700,82
"Grand Rapids, Michigan",42.963200,-85.667900,82
"Broward, Florida",30.459740,-81.456737,81
"Tri-cities, Tennessee",36.596101,-82.181698,79
"Bend, Oregon",44.058200,-121.315300,78
"Madison, Wisconsin",43.074800,-89.383800,75
Florida,27.701560,-81.558481,72
"Los Angeles, California",34.054400,-118.243900,70
"Charleston, South Carolina",32.787600,-79.940300,67
Alabama,32.576449,-86.724499,64
"Fort Collins, Colorado",40.550900,-105.066800,64
Kentucky,37.823816,-84.728711,63
Wisconsin,44.899726,-89.721330,61
Michigan,44.978718,-84.515887,61
Washington,47.268997,-120.691746,59
Illinois,39.739182,-89.451439,59
Indiana,39.690617,-86.173619,59
"Sacramento, California",38.581600,-121.494400,59
"Everett, Washington",47.967300,-122.201400,58
"Fort Wayne, Indiana",41.080000,-85.138600,57
"Kansas City, Missouri",39.084500,-94.563000,55
"Southeastern PA, Pennsylvania",40.235518,-75.535534,55
"South West Florida, Florida",26.578719,-81.857720,54
"Lincoln, Nebraska",40.800100,-96.667400,54
"Fayetteville, Arkansas",36.062600,-94.157400,52
"Chattanooga, Tennessee",35.045600,-85.309700,52
"Champaign / Urbana, Illinois",40.113733,-88.207709,52
Oklahoma,35.330506,-97.216830,51
"Harrisburg, Pennsylvania",40.266300,-76.886100,51
"Kenosha, Wisconsin",42.584700,-87.821200,51
"Inland Empire, California",34.097198,-117.295933,49
"Jacksonville, North Carolina",34.754100,-77.430200,49
"Las Vegas, Nevada",36.166300,-115.149200,48
"Green Bay, Wisconsin",44.529900,-88.024800,46
New Hampshire,43.998844,-71.553529,46
Georgia,32.674684,-83.250660,45
"Pensacola, Florida",30.421300,-87.216900,45
Colorado,38.999983,-105.549558,45
New Jersey,40.073189,-74.436238,44
"Northern Lower Peninsula, Michigan",43.750096,-85.144740,43
"Youngstown, Ohio",41.099800,-80.649500,43
Virginia,38.002340,-78.224935,43
"Springfield, Illinois",39.799000,-89.644400,43
"Lansing, Michigan",42.733800,-84.555400,41
"Eau Claire, Wisconsin",44.811300,-91.498500,41
"Savannah, Georgia",32.083500,-81.099800,39
"Buffalo, New York",42.933300,-78.877000,39
Texas,31.169256,-99.683282,39
"Memphis, Tennessee",35.149000,-90.051600,38
Vermont,43.872754,-72.772265,38
"San Diego, California",32.717400,-117.162800,37
"Appleton, Wisconsin",44.261100,-88.406800,37
"Mobile, Alabama",30.648800,-88.194600,36
"Wilmington, North Carolina",34.225700,-77.944700,36
"Miami-Dade, Florida",25.831634,-80.233246,35
"Rock Hill, South Carolina",34.924900,-81.025100,35
"Allentown, Pennsylvania",40.602200,-75.471300,34
"Roanoke, Virginia",37.271000,-79.941400,32
"Lafayette, Indiana",40.416700,-86.875300,32
"Austin, Texas",30.271100,-97.743700,32
"Eugene, Oregon",44.050500,-123.095100,32
"Columbia, Missouri",38.951900,-92.333700,32
"Olympia, Washington",47.045000,-122.894900,31
"Tucson, Arizona",32.221700,-110.926500,31
"Kansas City, Kansas",39.114700,-94.749500,30
"Janesville, Wisconsin",42.715200,-88.990800,30
"Asheville, North Carolina",35.600900,-82.554000,30
"Spokane, Washington",47.658900,-117.424700,30
"Little Rock, Arkansas",34.746500,-92.289600,29
Pennsylvania,41.118899,-77.737766,28
"Evansville, Indiana",37.974800,-87.555800,28
"Jackson, Tennessee",35.614500,-88.813900,28
"Boise, Idaho",43.615000,-116.204400,28
"Salem, Oregon",44.939200,-123.033100,28
"Medford, Oregon",42.326400,-122.871900,28
"Rochester, New York",43.157300,-77.615200,28
Minnesota,46.443226,-94.503809,28
"Clarksville, Tennessee",36.528600,-87.309900,27
"East Texas, Texas",32.208767,-95.874057,27
"South Bend, Indiana",41.683400,-86.250000,27
"Lima, Ohio",40.742600,-84.105200,27
"Jackson, Mississippi",32.299000,-90.184800,26
"Palm Beach, Florida",26.705600,-80.036500,26
Missouri,38.294958,-92.492359,26
"Lawton, Oklahoma",34.608700,-98.390300,25
"Des Moines, Iowa",41.591100,-93.603700,25
"Omaha, Nebraska",41.258700,-95.937900,25
Tennessee,35.832308,-86.317786,25
"Murfreesboro, Tennessee",35.846000,-86.392000,24
"St. Cloud, Minnesota",45.561600,-94.164200,24
