time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-08-24T15:03:40.000Z,67.1566,-143.1224,5,2.8,ml,,,,0.19,ak,ak13877833,2016-08-24T15:09:01.553Z,"115km NE of Fort Yukon, Alaska",earthquake,0.3,0.5,,,automatic,ak,ak
2016-08-24T14:18:21.350Z,-22.0454,168.9981,10,5,mb,,110,1.06,1.39,us,us10006gfa,2016-08-24T15:12:45.040Z,"127km ESE of Tadine, New Caledonia",earthquake,6.5,1.8,0.066,73,reviewed,us,us
2016-08-24T13:48:44.380Z,-2.9567,100.0549,17.15,5.8,mb,,58,3.213,1.09,us,us10006gf0,2016-08-24T14:13:25.893Z,"176km WSW of Sungaipenuh, Indonesia",earthquake,7.1,3.2,0.05,146,reviewed,us,us
2016-08-24T13:06:49.770Z,-18.4186,167.5577,10.2,4.9,mb,,57,2.365,0.93,us,us10006geu,2016-08-24T13:25:27.040Z,"110km SW of Port-Vila, Vanuatu",earthquake,4.5,5.5,0.115,24,reviewed,us,us
2016-08-24T11:50:31.920Z,42.8782,13.1098,10,4.9,mb,,26,0.567,1.01,us,us10006gee,2016-08-24T14:26:55.418Z,"5km SSE of Visso, Italy",earthquake,5,1.9,0.039,213,reviewed,us,us
2016-08-24T11:13:50.000Z,67.1998,-142.9781,5,2.8,ml,,,,0.65,ak,ak13877155,2016-08-24T11:28:12.235Z,"123km NE of Fort Yukon, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-08-24T11:08:36.000Z,67.2292,-142.9896,11.4,3.8,ml,,,,0.93,ak,ak13877140,2016-08-24T14:22:33.040Z,"124km NE of Fort Yukon, Alaska",earthquake,0.7,0.4,,,reviewed,ak,ak
2016-08-24T10:34:55.000Z,20.9192,94.5789,84.07,6.8,mwp,,24,1.797,1.35,us,us10006gbf,2016-08-24T15:02:40.146Z,"25km W of Chauk, Burma",earthquake,5.2,3.7,0.02,287,reviewed,us,us
2016-08-24T10:08:56.450Z,36.0798,-96.7672,5,3.4,mb_lg,,51,0.103,0.44,us,us10006gau,2016-08-24T13:36:51.293Z,"7km WSW of Yale, Oklahoma",earthquake,1.3,2,0.049,108,reviewed,us,us
2016-08-24T10:02:03.070Z,-19.5743,169.5848,28.43,4.7,mb,,83,2.391,0.61,us,us10006gas,2016-08-24T10:32:20.040Z,"33km E of Isangel, Vanuatu",earthquake,8.7,3.8,0.092,36,reviewed,us,us
2016-08-24T08:21:01.290Z,32.0056667,-116.2381667,5.2,2.88,ml,19,217,0.3876,0.2,ci,ci37670408,2016-08-24T13:14:37.643Z,"39km ENE of Ensenada, B.C., MX",earthquake,0.61,31.61,0.129,98,reviewed,ci,ci
2016-08-24T07:22:35.500Z,17.8738,-65.6491,11,2.5,Md,8,219.6,0.23985018,0.23,pr,pr16237002,2016-08-24T11:51:31.958Z,"28km ESE of Emajagua, Puerto Rico",earthquake,0.8,0.8,0,8,reviewed,pr,pr
2016-08-24T04:16:50.980Z,5.9494,124.1084,528.84,4.6,mb,,84,1.836,0.96,us,us10006g8p,2016-08-24T04:27:22.040Z,"30km SSW of Palimbang, Philippines",earthquake,11.4,9.5,0.141,15,reviewed,us,us
2016-08-24T04:06:53.180Z,42.7545,13.0332,10,4.5,mwr,,49,0.485,1.27,us,us10006g8k,2016-08-24T08:25:28.238Z,"4km NNE of Cascia, Italy",earthquake,4.4,1.9,0.057,30,reviewed,us,us
2016-08-24T03:40:11.540Z,42.6328,13.2398,10.72,4.3,mb,,64,0.221,0.63,us,us10006g8a,2016-08-24T08:22:08.116Z,"4km W of Amatrice, Italy",earthquake,5.1,6,0.116,21,reviewed,us,us
2016-08-24T03:34:22.000Z,60.0374,-152.2006,50,2.9,ml,,,,0.55,ak,ak13876352,2016-08-24T03:55:36.165Z,"35km NW of Anchor Point, Alaska",earthquake,0.3,0.4,,,automatic,ak,ak
