state,state_code,county_code,county_name,
FL,12,001,Alachua County,
FL,12,003,Baker County,
FL,12,005,Bay County,
FL,12,007,Bradford County,
FL,12,009,Brevard County,
FL,12,011,Broward County,
FL,12,013,Calhoun County,
FL,12,015,Charlotte County,
FL,12,017,Citrus County,
FL,12,019,Clay County,
FL,12,021,Collier County,
FL,12,023,Columbia County,
FL,12,027,DeSoto County,
FL,12,029,Dixie County,
FL,12,031,Duval County,
FL,12,033,Escambia County,
FL,12,035,Flagler County,
FL,12,037,Franklin County,
FL,12,039,Gadsden County,
FL,12,041,Gilchrist County,
FL,12,043,Glades County,
FL,12,045,Gulf County,
FL,12,047,Hamilton County,
FL,12,049,Hardee County,
FL,12,051,Hendry County,
FL,12,053,Hernando County,
FL,12,055,Highlands County,
FL,12,057,Hillsborough County,
FL,12,059,Holmes County,
FL,12,061,Indian River County,
FL,12,063,Jackson County,
FL,12,065,Jefferson County,
FL,12,067,Lafayette County,
FL,12,069,Lake County,
FL,12,071,Lee County,
FL,12,073,Leon County,
FL,12,075,Levy County,
FL,12,077,Liberty County,
FL,12,079,Madison County,
FL,12,081,Manatee County,
FL,12,083,Marion County,
FL,12,085,Martin County,
FL,12,086,Miami-Dade County,
FL,12,087,Monroe County,
FL,12,089,Nassau County,
FL,12,091,Okaloosa County,
FL,12,093,Okeechobee County,
FL,12,095,Orange County,
FL,12,097,Osceola County,
FL,12,099,Palm Beach County,
FL,12,101,Pasco County,
FL,12,103,Pinellas County,
FL,12,105,Polk County,
FL,12,107,Putnam County,
FL,12,109,St. Johns County,
FL,12,111,St. Lucie County,
FL,12,113,Santa Rosa County,
FL,12,115,Sarasota County,
FL,12,117,Seminole County,
FL,12,119,Sumter County,
FL,12,121,Suwannee County,
FL,12,123,Taylor County,
FL,12,125,Union County,
FL,12,127,Volusia County,
FL,12,129,Wakulla County,
FL,12,131,Walton County,
FL,12,133,Washington County,
