ALACHUA,"1,300",990,76%,"4,880","2,942",60%,,,,,,,,,,"23,226","16,199",70%,"100,626","13,877",14%,"34,008","130,032",74%,26%
BAKER,"5,400","2,090",39%,,,,,,,,,,,,,"5,963","4,612",77%,,,,"6,702","11,363",41%,59%
BAY,,,,"2,273","1,173",52%,"101,709",0,0%,,,,,,,"11,647",0,0%,,,,"1,173","115,629",99%,1%
BRADFORD,"4,100","2,820",69%,,,,,,,,,,,,,"5,864","3,002",51%,"2,685","2,685",100%,"8,507","12,649",33%,67%
BREVARD,"307,600","192,220",62%,16,8,50%,,,,,,,,,,"3,028",54,2%,,,,"192,282","310,644",38%,62%
BROWARD,"933,300","482,520",52%,,,,,,,,,,,,,54,54,100%,,,,"482,574","933,354",48%,52%
CALHOUN,,,,,,,,,,,,,925,0,0%,"1,697",0,0%,"1,314",0,0%,0,"3,936",100%,0%
CHARLOTTE,"114,100","45,920",40%,,,,,,,,,,,,,858,858,100%,,,,"46,778","114,958",59%,41%
CITRUS,,,,"46,697","33,192",71%,,,,,,,,,,"41,017","29,351",72%,,,,"62,543","87,714",29%,71%
CLAY,900,420,47%,,,,,,,,,,,,,"80,056","35,846",45%,"13,883","5,631",41%,"41,897","94,839",56%,44%
COLLIER,"210,700","184,300",87%,,,,,,,,,,,,,"35,211","35,211",100%,,,,"219,511","245,911",11%,89%
COLUMBIA,"14,000","8,760",63%,566,306,54%,,,,,,,,,,"18,797","14,449",77%,,,,"23,515","33,363",30%,70%
DESOTO,"16,600","9,230",56%,,,,,,,,,,,,,965,586,61%,,,,"9,816","17,565",44%,56%
DIXIE,,,,"1,800",999,56%,,,,,,,,,,"8,217","5,081",62%,,,,"6,080","10,017",39%,61%
DUVAL,10,10,100%,,,,,,,,,,,,,17,11,65%,"449,815","160,582",36%,"160,603","449,842",64%,36%
ESCAMBIA,,,,,,,"152,699",0,0%,,,,,,,"3,437",0,0%,,,,0,"156,136",100%,0%
FLAGLER,"58,000","40,090",69%,16,13,81%,,,,,,,,,,3,3,100%,,,,"40,106","58,019",31%,69%
FRANKLIN,,,,"10,202","5,457",53%,,,,,,,,,,,,,,,,"5,457","10,202",47%,53%
GADSDEN,,,,,,,,,,,,,,,,"14,972","6,866",46%,"7,322",0,0%,"6,866","22,294",69%,31%
GILCHRIST,,,,"1,637",885,54%,,,,,,,,,,"7,263","4,496",62%,,,,"5,381","8,900",40%,60%
GLADES,"3,400","2,430",71%,,,,,,,,,,,,,"2,942","2,736",93%,912,912,100%,"6,078","7,254",16%,84%
GULF,,,,"6,470","3,404",53%,,,,,,,,,,"4,439",0,0%,,,,"3,404","10,909",69%,31%
HAMILTON,,,,"2,927","1,628",56%,,,,,,,,,,"3,785","2,706",71%,,,,"4,334","6,712",35%,65%
HARDEE,40,20,50%,"2,671","2,661",100%,,,,,,,,,,"6,846","3,615",53%,"2,734","2,734",100%,"9,030","12,291",27%,73%
HENDRY,"9,700","8,240",85%,,,,,,,,,,,,,"4,778","4,778",100%,"4,272","1,281",30%,"14,299","18,750",24%,76%
HERNANDO,,,,"11,341","8,175",72%,,,,,,,,,,"83,599","37,583",45%,,,,"45,758","94,940",52%,48%
HIGHLANDS,600,420,70%,"54,209","53,880",99%,,,,,,,,,,"7,647","7,638",100%,,,,"61,938","62,456",1%,99%
HILLSBOROUGH,,,,25,19,76%,,,,"631,780","226,684",36%,,,,"1,148",321,28%,,,,"227,024","632,953",64%,36%
HOLMES,,,,,,,"2,581",0,0%,,,,,,,"7,842",0,0%,,,,0,"10,423",100%,0%
INDIAN RIVER,"56,300","36,370",65%,,,,,,,,,,,,,215,177,82%,"35,030","4,928",14%,"41,475","91,545",55%,45%
JACKSON,,,,,,,"1,398",0,0%,,,,"10,884",153,1%,"13,879",0,0%,,,,153,"26,161",99%,1%
JEFFERSON,,,,"4,639","2,513",54%,,,,,,,,,,"3,474","3,228",93%,,,,"5,741","8,113",29%,71%
LAFAYETTE,,,,845,462,55%,,,,,,,,,,"3,200","3,177",99%,,,,"3,639","4,045",10%,90%
LAKE,,,,"84,056","55,606",66%,,,,,,,,,,"66,105","35,788",54%,"27,706","13,169",48%,"104,563","177,867",41%,59%
LEE,"259,900","201,950",78%,,,,,,,,,,,,,"179,084","135,029",75%,,,,"336,979","438,984",23%,77%
LEON,,,,61,32,52%,,,,,,,,,,"26,491","6,533",25%,"117,253","6,024",5%,"12,589","143,805",91%,9%
LEVY,,,,"3,702","2,388",65%,,,,,,,,,,"19,546","10,701",55%,"1,462","1,462",100%,"14,551","24,710",41%,59%
LIBERTY,,,,,,,,,,,,,769,0,0%,"3,289",76,2%,,,,76,"4,058",98%,2%
MADISON,,,,"3,811","2,120",56%,,,,,,,,,,"6,897","3,950",57%,,,,"6,070","10,708",43%,57%
MANATEE,"184,900","79,080",43%,,,,,,,,,,,,,"24,857","4,834",19%,,,,"83,914","209,757",60%,40%
MARION,,,,"65,525","54,641",83%,,,,,,,,,,"73,611","39,957",54%,"49,955","28,999",58%,"123,597","189,091",35%,65%
MARTIN,"93,400","51,670",55%,,,,,,,,,,,,,,,,,,,"51,670","93,400",45%,55%
MIAMI-DADE,"1,114,000","650,590",58%,,,,,,,,,,,,,,,,"23,086","16,800",73%,"667,390","1,137,086",41%,59%
MONROE,90,90,100%,,,,,,,,,,,,,"32,500","21,666",67%,"31,183","31,183",100%,"52,939","63,773",17%,83%
NASSAU,"21,800","13,440",62%,,,,,,,,,,"16,076","10,378",65%,"6,920","6,859",99%,,,,"30,677","44,796",32%,68%
OKALOOSA,,,,,,,"92,602",0,0%,,,,,,,"15,809",0,0%,,,,0,"108,411",100%,0%
OKEECHOBEE,"20,000","13,010",65%,,,,,,,,,,,,,"2,790","2,790",100%,,,,"15,800","22,790",31%,69%
ORANGE,10,10,100%,"369,171","205,516",56%,,,,,,,,,,,,,"211,091","92,032",44%,"297,558","580,272",49%,51%
OSCEOLA,10,10,100%,"48,065","21,890",46%,,,,,,,,,,914,852,93%,"103,742","16,311",16%,"39,063","152,731",74%,26%
PALM BEACH,"739,000","381,510",52%,,,,,,,,,,,,,,,,"27,847","24,510",88%,"406,020","766,847",47%,53%
