Hurricane Irma - Power Outage Data,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time,9/11/2017 18:01,,,,,,Total Accounts Without Power:,,,,,,"6,516,564",,,Percentages:,,,Without,,62.05%,,With,37.95%,
County,FPL,,,Duke Energy,,,Gulf Power,,,Tampa Electric,,,FPU,,,Cooperatives,,,Municipals,,,COUNTY TOTALS,,,
,Number of Accounts,Current Number Out,% of Total,Number of Accounts,Current Number Out,% of Total,Number of Accounts,Current Number Out,% of Total,Number of Accounts,Current Number Out,% of Total,Number of Accounts,Current Number Out,% of Total,Number of Accounts,Current Number Out,% of Total,Number of Accounts,Current Number Out,% of Total,Current Number Out,Number of Accounts,% With,% Out
ALACHUA,"1,300",860,66%,"4,880","3,076",63%,,,,,,,,,,"23,226","19,983",86%,"100,626","39,327",39%,"63,246","130,032",51%,49%
BAKER,"5,400","4,320",80%,,,,,,,,,,,,,"5,963","5,832",98%,,,,"10,152","11,363",11%,89%
BAY,,,,"2,273","1,252",55%,"101,709",578,1%,,,,,,,"11,647",161,1%,,,,"1,991","115,629",98%,2%
BRADFORD,"4,100","3,950",96%,,,,,,,,,,,,,"5,864","4,587",78%,"2,685","2,685",100%,"11,222","12,649",11%,89%
BREVARD,"307,600","212,320",69%,16,9,56%,,,,,,,,,,"3,028",111,4%,,,,"212,440","310,644",32%,68%
BROWARD,"933,300","601,370",64%,,,,,,,,,,,,,54,54,100%,,,,"601,424","933,354",36%,64%
CALHOUN,,,,,,,,,,,,,925,255,28%,"1,697",261,15%,"1,314",300,23%,816,"3,936",79%,21%
CHARLOTTE,"114,100","61,780",54%,,,,,,,,,,,,,858,858,100%,,,,"62,638","114,958",46%,54%
CITRUS,,,,"46,697","33,959",73%,,,,,,,,,,"41,017","35,310",86%,,,,"69,269","87,714",21%,79%
CLAY,900,460,51%,,,,,,,,,,,,,"80,056","45,638",57%,"13,883","7,311",53%,"53,409","94,839",44%,56%
COLLIER,"210,700","196,800",93%,,,,,,,,,,,,,"35,211","35,211",100%,,,,"232,011","245,911",6%,94%
COLUMBIA,"14,000","13,610",97%,566,326,58%,,,,,,,,,,"18,797","16,411",87%,,,,"30,347","33,363",9%,91%
DESOTO,"16,600","12,830",77%,,,,,,,,,,,,,965,843,87%,,,,"13,673","17,565",22%,78%
DIXIE,,,,"1,800","1,066",59%,,,,,,,,,,"8,217","5,704",69%,,,,"6,770","10,017",32%,68%
DUVAL,10,10,100%,,,,,,,,,,,,,17,11,65%,"449,815","257,240",57%,"257,261","449,842",43%,57%
ESCAMBIA,,,,,,,"152,699",72,0%,,,,,,,"3,437",0,0%,,,,72,"156,136",100%,0%
FLAGLER,"58,000","46,800",81%,16,13,81%,,,,,,,,,,3,3,100%,,,,"46,816","58,019",19%,81%
FRANKLIN,,,,"10,202","5,824",57%,,,,,,,,,,,,,,,,"5,824","10,202",43%,57%
GADSDEN,,,,,,,,,,,,,,,,"14,972","8,161",55%,"7,322",136,2%,"8,297","22,294",63%,37%
GILCHRIST,,,,"1,637",944,58%,,,,,,,,,,"7,263","5,571",77%,,,,"6,515","8,900",27%,73%
GLADES,"3,400","2,350",69%,,,,,,,,,,,,,"2,942","2,940",100%,912,912,100%,"6,202","7,254",15%,85%
GULF,,,,"6,470","3,633",56%,,,,,,,,,,"4,439",565,13%,,,,"4,198","10,909",62%,38%
HAMILTON,,,,"2,927","1,737",59%,,,,,,,,,,"3,785","3,261",86%,,,,"4,998","6,712",26%,74%
HARDEE,40,30,75%,"2,671","2,661",100%,,,,,,,,,,"6,846","5,857",86%,"2,734","2,734",100%,"11,282","12,291",8%,92%
HENDRY,"9,700","9,700",100%,,,,,,,,,,,,,"4,778","4,778",100%,"4,272","4,272",100%,"18,750","18,750",0%,100%
HERNANDO,,,,"11,341","8,364",74%,,,,,,,,,,"83,599","50,280",60%,,,,"58,644","94,940",38%,62%
HIGHLANDS,600,490,82%,"54,209","53,865",99%,,,,,,,,,,"7,647","7,638",100%,,,,"61,993","62,456",1%,99%
HILLSBOROUGH,,,,25,19,76%,,,,"631,780","263,790",42%,,,,"1,148",928,81%,,,,"264,737","632,953",58%,42%
HOLMES,,,,,,,"2,581",63,2%,,,,,,,"7,842",9,0%,,,,72,"10,423",99%,1%
INDIAN RIVER,"56,300","41,090",73%,,,,,,,,,,,,,215,172,80%,"35,030","13,203",38%,"54,465","91,545",41%,59%
JACKSON,,,,,,,"1,398",1,0%,,,,"10,884","1,784",16%,"13,879",659,5%,,,,"2,444","26,161",91%,9%
JEFFERSON,,,,"4,639","2,682",58%,,,,,,,,,,"3,474","3,410",98%,,,,"6,092","8,113",25%,75%
LAFAYETTE,,,,845,493,58%,,,,,,,,,,"3,200","3,183",99%,,,,"3,676","4,045",9%,91%
LAKE,,,,"84,056","57,166",68%,,,,,,,,,,"66,105","40,965",62%,"27,706","19,465",70%,"117,596","177,867",34%,66%
LEE,"259,900","209,790",81%,,,,,,,,,,,,,"179,084","135,029",75%,,,,"344,819","438,984",21%,79%
LEON,,,,61,34,56%,,,,,,,,,,"26,491","13,574",51%,"117,253","38,165",33%,"51,773","143,805",64%,36%
