measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,Under 5,Malaria,Number,1990,459360.8183,675281.8329,293633.5869
Deaths,Global,Both,Under 5,Malaria,Rate,1990,71.27726137,104.7808994,45.56200069
Deaths,Global,Both,All Ages,Malaria,Rate,1990,12.46666731,17.0951079,8.552022931
Deaths,Global,Both,All Ages,Malaria,Number,1990,672540.2192,922231.044,461356.6105
Deaths,Global,Both,Under 5,Malaria,Rate,1991,73.18256527,107.8745763,47.43996663
Deaths,Global,Both,Under 5,Malaria,Number,1991,471995.5145,695743.8014,305967.0206
Deaths,Global,Both,All Ages,Malaria,Rate,1991,12.65032316,17.40322387,8.759179008
Deaths,Global,Both,All Ages,Malaria,Number,1991,693010.7272,953384.4057,479845.8456
Deaths,Global,Both,Under 5,Malaria,Rate,1992,75.17834284,110.7142084,48.78149389
Deaths,Global,Both,Under 5,Malaria,Number,1992,483007.8542,711319.6463,313412.6638
Deaths,Global,Both,All Ages,Malaria,Rate,1992,12.79642877,17.57656629,8.939358498
Deaths,Global,Both,All Ages,Malaria,Number,1992,711554.7789,977357.8209,497079.5659
Deaths,Global,Both,Under 5,Malaria,Rate,1993,77.47429341,113.5188478,50.81601964
Deaths,Global,Both,Under 5,Malaria,Number,1993,494754.482,724936.7019,324513.4918
Deaths,Global,Both,All Ages,Malaria,Number,1993,729753.5148,1001056.54,513144.3913
Deaths,Global,Both,All Ages,Malaria,Rate,1993,12.93929237,17.7497785,9.098586265
Deaths,Global,Both,Under 5,Malaria,Rate,1994,79.25296483,115.9762284,52.46049116
Deaths,Global,Both,Under 5,Malaria,Number,1994,503044.4432,736138.987,332983.8652
Deaths,Global,Both,All Ages,Malaria,Number,1994,743160.5853,1024911.349,522687.9005
Deaths,Global,Both,All Ages,Malaria,Rate,1994,12.99758113,17.9252892,9.141602137
Deaths,Global,Both,Under 5,Malaria,Rate,1995,81.28810759,118.5325239,54.03046083
Deaths,Global,Both,Under 5,Malaria,Number,1995,513013.9521,748065.6192,340989.3657
Deaths,Global,Both,All Ages,Malaria,Number,1995,761633.549,1047365.388,536126.9668
Deaths,Global,Both,All Ages,Malaria,Rate,1995,13.14082955,18.07069825,9.25005614
Deaths,Global,Both,Under 5,Malaria,Rate,1996,82.95363384,120.2308392,55.43474177
Deaths,Global,Both,Under 5,Malaria,Number,1996,520916.185,755002.3691,348108.3693
Deaths,Global,Both,All Ages,Malaria,Number,1996,777027.377,1059289.392,551879.7602
Deaths,Global,Both,All Ages,Malaria,Rate,1996,13.22817811,18.03342991,9.395246524
Deaths,Global,Both,Under 5,Malaria,Rate,1997,85.08808615,123.0751246,56.92664759
Deaths,Global,Both,All Ages,Malaria,Number,1997,797105.3571,1087258.867,569746.235
Deaths,Global,Both,Under 5,Malaria,Number,1997,532528.6941,770272.7651,356278.7068
Deaths,Global,Both,All Ages,Malaria,Rate,1997,13.39036701,18.26458087,9.571019838
Deaths,Global,Both,Under 5,Malaria,Rate,1998,86.987707,124.9250443,58.29149641
Deaths,Global,Both,All Ages,Malaria,Number,1998,816746.9318,1106203.475,582277.0404
Deaths,Global,Both,Under 5,Malaria,Number,1998,543649.8867,780748.0907,364306.251
Deaths,Global,Both,All Ages,Malaria,Rate,1998,13.54150216,18.34063425,9.65403786
Deaths,Global,Both,Under 5,Malaria,Rate,1999,88.95660309,127.0243558,60.05900419
Deaths,Global,Both,Under 5,Malaria,Number,1999,555877.5954,793757.7539,375300.4687
Deaths,Global,Both,All Ages,Malaria,Number,1999,834704.2559,1118625.082,601833.7593
